riddle,choice0,choice1,choice2,choice3,(index of correct choice)
I am of rectangle form. I turn the small into the big. I turn the counted into signs. Above my twin and I are the two.That give my users ease. What am I?,Florida Keys,ctrl,valley,shift,3
I am of rectangle form. I turn the small into the big. I turn the counted into signs. Above my twin and I are the two.That give my users ease. What am I?,Florida Keys,shift,ctrl,spacebar,1
"What can be underwater, under fire, on fire and taking water all at the same time?",battleship,submarine,boat,helicopter,1
"What can be underwater, under fire, on fire and taking water all at the same time?",hull,helicopter,boat,submarine,3
It is where everyone wants to run home and stealing is encouraged.,football,baseball,hockey,basketball,1
It is where everyone wants to run home and stealing is encouraged.,football,baseball,hockey,softball,1
Who is it that rows quickly with four oars but never comes out from under his own roof?,hippo,duck,snake,turtle,3
Who is it that rows quickly with four oars but never comes out from under his own roof?,octopus,hippo,turtle,snake,2
"Under pressure is the only way I work, and by myself is the only way I am hurt. What am I?",diamond,gold,bronze,iron,0
"Under pressure is the only way I work, and by myself is the only way I am hurt. What am I?",gold,bronze,diamond,silver,2
"The faster you run, the harder it is to catch me. What am I?",breath,oxygen,lungs,fresh air,0
"The faster you run, the harder it is to catch me. What am I?",breath,awakening,oxygen,lungs,0
What has hundreds of ears but can't hear?,woods,back yard,flashlight,corn field,3
What has hundreds of ears but can't hear?,map,corn field,flashlight,woods,1
What falls often but never gets hurt?,winter,oxygen,Hydrogen peroxide,snow,3
What falls often but never gets hurt?,winter,Hydrogen peroxide,rain,snow,3
"Without coolant, you'll have some trouble with this.",chimney,coolant,radiator,piston,2
"Without coolant, you'll have some trouble with this.",chimney,piston,radiator,heatsink,2
"Sitting on the back of a truck.Waiting for someone with bad luck. In a classic board game, I help you win.Don't take the plunge; I'll help lower you in. Jacob saw me in a dream.A pathway like a light beam. What am I?",deck,railings,crane,ladder,3
"Sitting on the back of a truck.Waiting for someone with bad luck. In a classic board game, I help you win.Don't take the plunge; I'll help lower you in. Jacob saw me in a dream.A pathway like a light beam. What am I?",ladder,railings,deck,climb,0
"White we are, strong we are; but can be easily shaken and weakened, easily stained and dirtied; None was found at first, then one appeared; afterwards, more are seen and thirty two appear at last, we all stand waiting for our prey. The food you eat is our prey and we all are in you. What are we?",dentist,teeth,mouth,tongue,1
"White we are, strong we are; but can be easily shaken and weakened, easily stained and dirtied; None was found at first, then one appeared; afterwards, more are seen and thirty two appear at last, we all stand waiting for our prey. The food you eat is our prey and we all are in you. What are we?",dentist,gums,tongue,teeth,3
I'm tall and skinny And have one large mouth. Made of brick or stone Yet never of wood.  What am I?,spiral staircase,chimney,pipe,attic,1
I'm tall and skinny And have one large mouth. Made of brick or stone Yet never of wood.  What am I?,attic,chimney,pipe,oven,1
"I have many purposes for everyone, maybe a home, maybe some fun. I grow really tall and live a long time but once I get too old I just fall down and die. What am I?",pillow,leaf,teddy bear,tree,3
"I have many purposes for everyone, maybe a home, maybe some fun. I grow really tall and live a long time but once I get too old I just fall down and die. What am I?",pillow,cactus,teddy bear,tree,3
I can make an octopus laugh. What am I?,forty,five,fangs,tentacles,3
I can make an octopus laugh. What am I?,tendrils,fangs,five,tentacles,3
What has 18 legs and catches flies?,shortstop,baseball team,national championship,softball,1
What has 18 legs and catches flies?,baseball team,shortstop,national championship,basketball,0
"On front I'm there, for all to see.With ""About!"", a command I'm shouted loudly.With music I, may be something done.Though save me then as it's not much fun. My length questioned when feeling down.Unlikely asked of a clown.Time is short, how would I know? In fact near me, time may show",mouth,estate,face,defendant,2
"On front I'm there, for all to see.With ""About!"", a command I'm shouted loudly.With music I, may be something done.Though save me then as it's not much fun. My length questioned when feeling down.Unlikely asked of a clown.Time is short, how would I know? In fact near me, time may show",face,estate,mouth,eyes,0
"Where man is, there I am  I'm nat'ral, man makes me  I'm a shield, a weapon  I enchain to release  A stable foundation  Though ever evolving  My body is quite vast  Though I'm not physical  I have many branches  I'm not a tree or plant  No guesses, you know me now  No mercy, if you are wrong  What am I?",constitution,estate,law,legislation,2
"Where man is, there I am  I'm nat'ral, man makes me  I'm a shield, a weapon  I enchain to release  A stable foundation  Though ever evolving  My body is quite vast  Though I'm not physical  I have many branches  I'm not a tree or plant  No guesses, you know me now  No mercy, if you are wrong  What am I?",law,defendant,estate,legislation,0
"Never resting, never still. Moving silently from hill to hill. It does not walk, run or trot. All is cool where it is not.",springtime,blue skies,sunshine,sunset,2
"Never resting, never still. Moving silently from hill to hill. It does not walk, run or trot. All is cool where it is not.",blue skies,sunshine,rainstorm,springtime,1
"It is always bought when you're hungry, but it doesn't get eaten. What am I?",yardstick,plate,tray,gravity,1
"It is always bought when you're hungry, but it doesn't get eaten. What am I?",plate,gravity,batter,tray,0
"I drift forever with the current down these long canals they've made, Tame, yet wild, I run elusive Multitasking to your aid. Before I came, the world was darker, colder, sometimes, rougher, true But though I might make living easy, I'm good at killing people too.",solar energy,electricity,oxygen,electronics,1
"I drift forever with the current down these long canals they've made, Tame, yet wild, I run elusive Multitasking to your aid. Before I came, the world was darker, colder, sometimes, rougher, true But though I might make living easy, I'm good at killing people too.",solar energy,electricity,oxygen,hydrogen,1
Boxes marked as this should not be abused.,fragile,insecure,sensitive,troublesome,0
Boxes marked as this should not be abused.,snowflakes,insecure,sensitive,fragile,3
"I have many letters, And though it's strange to say, I stay the same no matter how many I give away.",burglar,garbage truck,mailman,cashier,2
"I have many letters, And though it's strange to say, I stay the same no matter how many I give away.",burglar,mailman,receptionist,cashier,1
"Throw it off the highest building, and I'll not break. But put me in the ocean, and I will.",tissue,pillow,mucus,teddy bear,0
"Throw it off the highest building, and I'll not break. But put me in the ocean, and I will.",pillow,placenta,tissue,teddy bear,2
I am the outstretched fingers that seize and hold the wind. Wisdom flows from me in other hands. Upon me are sweet dreams dreamt. My merest touch brings laughter. What am I?,feather,bird,yeast,twig,0
I am the outstretched fingers that seize and hold the wind. Wisdom flows from me in other hands. Upon me are sweet dreams dreamt. My merest touch brings laughter. What am I?,yeast,Evaporated milk,twig,feather,3
"I am one with eight to spare, lest I lose my one.I'm not a number.What am I?",cat,puppy,dog,raccoon,0
"I am one with eight to spare, lest I lose my one.I'm not a number.What am I?",kitten,dog,cat,raccoon,2
I am seven letter word. I am very heavy. Take away two letters from me and you will get 8. Take away one letter and you will get 80. Who am I?,seven,durable,weighty,challenging,2
I am seven letter word. I am very heavy. Take away two letters from me and you will get 8. Take away one letter and you will get 80. Who am I?,weighty,challenging,seven,four,0
"I'm not dead i'm not alive, i'm not underground i'm high up in the sky, people speak of me but never saw me. Who am i?",god,Jesus,heaven,holy spirit,0
"I'm not dead i'm not alive, i'm not underground i'm high up in the sky, people speak of me but never saw me. Who am i?",allah,holy spirit,Jesus,god,3
What do you call a pig that does karate?,Porkchop,Valentina,Farrah,Brooke,0
What do you call a pig that does karate?,Farrah,Porkchop,Brooke,Monique,1
What do you break when you say its name?,whisper,annihilation,darkness,silence,3
What do you break when you say its name?,silence,noise,whisper,annihilation,0
What do Eskimos get from sitting on the ice for way too long?,polaroids,cassettes,underwear,camcorder,0
What do Eskimos get from sitting on the ice for way too long?,postcards,underwear,camcorder,polaroids,3
"Reaching stiffly for the sky, I bare my fingers when it's cold In warmth I wear an emerald glove And in between I dress in gold",deciduous tree,pillow,conifers,boxwood,0
"Reaching stiffly for the sky, I bare my fingers when it's cold In warmth I wear an emerald glove And in between I dress in gold",pillow,teddy bear,conifers,deciduous tree,3
"What has a hundred limbs, sometimes leaves, but cannot walk?",tree,teddy bear,pillow,cactus,0
"What has a hundred limbs, sometimes leaves, but cannot walk?",tree,leaf,cactus,pillow,0
"""What does the ""S"" in SMH stand for?""",valley,crying,shaking,Florida Keys,2
"""What does the ""S"" in SMH stand for?""",Florida Keys,laughing,valley,shaking,3
I have no brain but am still smarter than the average human. What am I?,calculator,calculations,thumbdrive,spreadsheet,0
I have no brain but am still smarter than the average human. What am I?,spreadsheet,Macbook,calculator,thumbdrive,2
You can't see me when you're alive.But you might when you die.I am the home of the creator.But do I really exist?  What am I?,angels,god,heaven,hell,2
You can't see me when you're alive.But you might when you die.I am the home of the creator.But do I really exist?  What am I?,angels,god,heaven,Jesus,2
You get these directions from outer space.,bluetooth,camera,compass,gps,3
You get these directions from outer space.,gps,waze,compass,camera,0
A stylish winter top that covers your larynx.,turtleneck,jacket,sweater,octopus,0
A stylish winter top that covers your larynx.,hippo,sweater,turtleneck,octopus,2
"I am an object, I takes pill at first, keeps your head safe, and becomes low at last. What am I?",teddy bear,towel,sofa,pillow,3
"I am an object, I takes pill at first, keeps your head safe, and becomes low at last. What am I?",mattress,towel,pillow,sofa,2
I am never right. I am often mistaken for being true. I am deceptive and many people use me as an enemy disguised as a friend. What am I?,exaggerate,mattress,lie,pretend,2
I am never right. I am often mistaken for being true. I am deceptive and many people use me as an enemy disguised as a friend. What am I?,lie,mattress,pretend,teddy bear,0
What sweets do geologists like?,fruit snacks,valley,Rock candy,Florida Keys,2
What sweets do geologists like?,Florida Keys,fruit snacks,Rock candy,whip cream,2
"You can see me up north bundled up, I live inside a white house, and my diet is mainly Paleo. Who am I?",eskimo,caucasian,hawaiian,reindeer,0
"You can see me up north bundled up, I live inside a white house, and my diet is mainly Paleo. Who am I?",reindeer,hawaiian,moose,eskimo,3
I'm a thick slice of beef or other highquality meat or fish that is often cooked on a grill or fried.,meat,chicken,steak,sandwich,2
I'm a thick slice of beef or other highquality meat or fish that is often cooked on a grill or fried.,steak,bacon,meat,chicken,0
"Warriors flung from catapults small. Will hit one another, claiming them all. Move him, win the war. Until there's no more. And an army of soldiers stand tall. What are these warriors?",chalk,pebbles,marbles,porcelain,2
"Warriors flung from catapults small. Will hit one another, claiming them all. Move him, win the war. Until there's no more. And an army of soldiers stand tall. What are these warriors?",spoons,porcelain,marbles,pebbles,2
"I am a bread made with cornmeal, often eaten with beans or Jambalaya.",cheese,cornbread,mashed potatoes,chili,1
"I am a bread made with cornmeal, often eaten with beans or Jambalaya.",chili,mashed potatoes,cornbread,sandwich,2
I pick up things you can neither see nor hear. I send out things you can hear but cannot see. What am I?,television,radio,tv,recorder,1
I pick up things you can neither see nor hear. I send out things you can hear but cannot see. What am I?,tv,recorder,broadcaster,radio,3
"I am just a lowly thing, Object of much derision, I am odd because I multiply .By practicing division. What am I?",mosquito,amoeba,jellyfish,octopus,1
"I am just a lowly thing, Object of much derision, I am odd because I multiply .By practicing division. What am I?",jellyfish,octopus,ant,amoeba,3
I am always in front and never behind. What am I?,hiphop,back,past,future,3
I am always in front and never behind. What am I?,hiphop,past,Buddha,future,3
"At my hind there is a rope.On my head a fan, Beside my mouth are two sharp spears.And my tree-legs are rough on your hands. Beside all this is one great wall.A snake adorns my head at all.times, and it is part of me.And it will always be. What am I?",elephant,gorilla,hippo,giraffe,0
"At my hind there is a rope.On my head a fan, Beside my mouth are two sharp spears.And my tree-legs are rough on your hands. Beside all this is one great wall.A snake adorns my head at all.times, and it is part of me.And it will always be. What am I?",elephant,gorilla,hippo,tiger,0
I am the only word that looks the same when spelt upside down. What am I?,sails,ocean,swims,dives,2
I am the only word that looks the same when spelt upside down. What am I?,swims,dives,sails,shark,0
what comes in hard comes out soft and you blow ???????????????????????????????????????/,dental floss,gum,skittles,toothpaste,1
what comes in hard comes out soft and you blow ???????????????????????????????????????/,gum,cigarettes,toothpaste,dental floss,0
"I am made up of these five lines.two and three are together, you'll find.Read me and see.What I can be.You'll know the answer in time",Dublin,Manchester,Limerick,London,2
"I am made up of these five lines.two and three are together, you'll find.Read me and see.What I can be.You'll know the answer in time",Limerick,Ireland,Manchester,London,0
"Never swallowed but certainly chewed, tossed in the mouth but it is not food. What is it?",skittles,toothpaste,gum,cigarettes,2
"Never swallowed but certainly chewed, tossed in the mouth but it is not food. What is it?",skittles,gum,dental floss,toothpaste,1
The strangest creature you'll ever find: Two eyes in front and many many more behind.,eagle,peacock,bird,giraffe,1
The strangest creature you'll ever find: Two eyes in front and many many more behind.,giraffe,eagle,tiger,peacock,3
It's only good if people laugh at it.,punchline,meme,joke,smile,2
It's only good if people laugh at it.,humorous,joke,punchline,meme,1
"My father was a mountain, my mother a cliff. They dropped and left me in a river running swift. Now I lie in a dry river bed no longer moving since the river has fled. I am different now yet I am the same, still that from which I came.",boulder,metal,rock,valley,2
"My father was a mountain, my mother a cliff. They dropped and left me in a river running swift. Now I lie in a dry river bed no longer moving since the river has fled. I am different now yet I am the same, still that from which I came.",metal,Florida Keys,rock,valley,2
"When you behead a word, you drop the first letter of the word.  The following clues should help you find the three letter word. Behead a beast, and you will find.A larger beast is left behind. Behead this larger beast and then.Instead of one, you'll find I'm ten.",television,cnn,fox,cartoon,2
"When you behead a word, you drop the first letter of the word.  The following clues should help you find the three letter word. Behead a beast, and you will find.A larger beast is left behind. Behead this larger beast and then.Instead of one, you'll find I'm ten.",television,cartoon,cbs,fox,3
"I am the Father of Day, The Son of Month, and the Grandson of Year. What Am I?",day,workout,Sunday,week,3
"I am the Father of Day, The Son of Month, and the Grandson of Year. What Am I?",workout,week,day,month,1
This element is a girl's best friend. What is it?,oxygen,co2,emissions,carbon,3
This element is a girl's best friend. What is it?,carbon,Hydrogen peroxide,co2,oxygen,0
"Thirty-two white horses on a red hill. When you talk, they move. When you're silent, they stand still. They can be lost, but replaced only once.",gums,tongue,mouth,teeth,3
"Thirty-two white horses on a red hill. When you talk, they move. When you're silent, they stand still. They can be lost, but replaced only once.",teeth,mouth,gums,dentist,0
What can come back to life as long as you feed it? ( and that it's not broken ),cookware,electronics,capacitors,computers,1
What can come back to life as long as you feed it? ( and that it's not broken ),computers,electronics,microwave,cookware,1
"High born, my touch is gentle. Purest white is my lace. Silence is my kingdom. Green is the color of my death.",snow,rain,oxygen,winter,0
"High born, my touch is gentle. Purest white is my lace. Silence is my kingdom. Green is the color of my death.",rain,Hydrogen peroxide,snow,winter,2
"I SHARE A NAME WITH SOMETHING DEAD, WHICH DOESN'T FADE, BUT GROWS INSTEAD.  WHAT AM I?",deer,bird,hare,raccoon,2
"I SHARE A NAME WITH SOMETHING DEAD, WHICH DOESN'T FADE, BUT GROWS INSTEAD.  WHAT AM I?",squirrel,raccoon,hare,bird,2
"A book once owned by the wealthy, now rare to find. Never for sale and often left behind. What am I?",stapler,phonebook,cellphone,dictionary,1
"A book once owned by the wealthy, now rare to find. Never for sale and often left behind. What am I?",voicemail,phonebook,stapler,cellphone,1
"I'm first found in caves, now prolific online; I'm a depiction, a drawing, a symbol, or sign. I'll convey whichever mood you could wish; or for that matter, a fist, flask, or fish. What am I?",comic sans,emoticon,emoji,onomatopoeia,2
"I'm first found in caves, now prolific online; I'm a depiction, a drawing, a symbol, or sign. I'll convey whichever mood you could wish; or for that matter, a fist, flask, or fish. What am I?",comic sans,onomatopoeia,exclamation point,emoji,3
"Sometimes I feel all wound up tight. To unwind, I play, and that's alright. But there are strings attached and that's a bore. I might have to walk the dog some more, or rock the cradle, or do some other chore. So, like everyone, I have my ups and downs; I'm just glad I cause smiles, not frowns. Who or what am I?",yo-yo,black widow,boomerang,see-saw,0
"Sometimes I feel all wound up tight. To unwind, I play, and that's alright. But there are strings attached and that's a bore. I might have to walk the dog some more, or rock the cradle, or do some other chore. So, like everyone, I have my ups and downs; I'm just glad I cause smiles, not frowns. Who or what am I?",yo-yo,see-saw,boomerang,shield,0
"""What does ""diff"" mean?""",contradictory,different,other,weird,1
"""What does ""diff"" mean?""",other,better,different,contradictory,2
I work when I play and play when I work. What am I?,guitarist,singer,musician,artist,2
I work when I play and play when I work. What am I?,musician,artist,guitarist,guitar,0
"I can be guilty and convicted, though I'll never serve any time. What am I?",apathy,moral compass,conscience,guilt,2
"I can be guilty and convicted, though I'll never serve any time. What am I?",conscience,apathy,ethics,guilt,0
Find an English word that uses all of the following letters: PNLLEEEESSSSS,insomnia,brain fog,bronchitis,sleeplessness,3
Find an English word that uses all of the following letters: PNLLEEEESSSSS,loneliness,sleeplessness,bronchitis,brain fog,1
"My first may accompany a sullen summer sky.My second means ""the sky's the limit"" does not apply.My whole keeps your uppermost features perfectly dry. What am I?",shower cap,pillowcase,stairs,shampoo,0
"My first may accompany a sullen summer sky.My second means ""the sky's the limit"" does not apply.My whole keeps your uppermost features perfectly dry. What am I?",pillowcase,shower cap,wall,stairs,1
Tiny flower bowl.Filled with an iris.Gives the gift of sight. What am I?,contact lens,flashlight,optometrist,astigmatism,0
Tiny flower bowl.Filled with an iris.Gives the gift of sight. What am I?,contact lens,optometrist,map,astigmatism,0
"What can be saved but not made, can be taken but not given, can be short or long, and can be happy or sad?",headache,romance,life,brilliant,2
"What can be saved but not made, can be taken but not given, can be short or long, and can be happy or sad?",childhood,romance,life,headache,2
Hickory-Dickory-Dock! The mouse ran up the clock. The clock struck one and down did come. Hickory-Dickory-Dock!What am I?,electric chair,guillotine,noose,gallows,1
Hickory-Dickory-Dock! The mouse ran up the clock. The clock struck one and down did come. Hickory-Dickory-Dock!What am I?,gallows,electric chair,guillotine,decapitation,2
Things here are usually tagged with red stickers. What am I?,clearance,endcap,shelves,radiator,0
Things here are usually tagged with red stickers. What am I?,cabinet,shelves,radiator,clearance,3
"When you have done some bad, The immortal judge inside your head, Steps right up and tells you that.What you did is something to bristle at. You will start to feel remorse.And you wish you could take it back, of course!  What is this?",apathy,moral compass,conscience,ethics,2
"When you have done some bad, The immortal judge inside your head, Steps right up and tells you that.What you did is something to bristle at. You will start to feel remorse.And you wish you could take it back, of course!  What is this?",conscience,apathy,moral compass,guilt,0
"I am the family you chose, with me by your side, you'll never lose! Who am I?",clever,innocent,cousin,Best friend,3
"I am the family you chose, with me by your side, you'll never lose! Who am I?",cousin,innocent,gf,Best friend,3
My first will cover you all night long.My second might be your favourite song.My whole ensures the notes aren't made wrong. What am I?,artist,guitar,piano,sheet music,3
My first will cover you all night long.My second might be your favourite song.My whole ensures the notes aren't made wrong. What am I?,artist,guitar,violin,sheet music,3
"I Am Used In Most Sports, Have Four Holes, Come In Many Different Colors And There Is A State That Shares My Name.",sweater,jersey,hoodie,scarf,1
"I Am Used In Most Sports, Have Four Holes, Come In Many Different Colors And There Is A State That Shares My Name.",hoodie,jersey,shirt,scarf,1
"I am only useful when I am full, yet I am always full of holes. What am I?",paper towel,sponge,dish soap,spoon,1
"I am only useful when I am full, yet I am always full of holes. What am I?",paper towel,toothbrush,sponge,spoon,2
"This thing is a most amazing thing.For it can be both as sharp as a knife.Or as flat as a floor.And yet, for all that it can be.It is as natural as a bee",music,songs,rap,artist,0
"This thing is a most amazing thing.For it can be both as sharp as a knife.Or as flat as a floor.And yet, for all that it can be.It is as natural as a bee",music,rap,artist,guitar,0
"My 3, 2, 5, 6, 11 is a computer appendage. My 10, 8, 3, 9 is a branch. My 1, 2, 4 is a deaf ear. My 3, 8, 6, 7 will leave you in a fog. My whole is flammable.",ethereal,combustible,flammable,hair,1
"My 3, 2, 5, 6, 11 is a computer appendage. My 10, 8, 3, 9 is a branch. My 1, 2, 4 is a deaf ear. My 3, 8, 6, 7 will leave you in a fog. My whole is flammable.",shave,combustible,flammable,ethereal,1
I am a Jewish chocolate candy that is wrapped in foil. I sometimes have a picture of a menorah on me or the Star of David. What am I?,Nagash,Bretonnia,cheese,Gelt,3
I am a Jewish chocolate candy that is wrapped in foil. I sometimes have a picture of a menorah on me or the Star of David. What am I?,cheese,sandwich,Nagash,Gelt,3
Something you do with guests at a fancy party hoping to get a legup in your career.,impress,kiss,bribe,schmooze,3
Something you do with guests at a fancy party hoping to get a legup in your career.,bribe,schmooze,backstab,kiss,1
"Never was, I am always to be. No one ever saw me, nor ever will. And yet I am the confidence of all, to live and breath on this terrestrial ball. What am I?",past,back,future,Buddha,2
"Never was, I am always to be. No one ever saw me, nor ever will. And yet I am the confidence of all, to live and breath on this terrestrial ball. What am I?",future,Buddha,hiphop,past,0
"I travel all over the world. But I could not move, just stay in a same single spot. What Am I?",sticker,raccoon,signature,stamp,3
"I travel all over the world. But I could not move, just stay in a same single spot. What Am I?",raccoon,puppy,stamp,sticker,2
What starts out in a field and then crashed on a stone. It becomes much more when to the fire it's thrown?,bread,cheese,potatoes,butter,0
What starts out in a field and then crashed on a stone. It becomes much more when to the fire it's thrown?,cheese,butter,sandwich,bread,3
I am something that goes up. Although I am not a kite. I am held over your head. To help block rain or sunlight. What is it?,umbrella,blanket,unbrella,scarf,0
I am something that goes up. Although I am not a kite. I am held over your head. To help block rain or sunlight. What is it?,umbrella,blanket,scarf,poncho,0
"I am not visible, tangible, or corrupt. I am genuine, given, and real. It takes three of these to figure out what is left. What am I?",right,innocent,clever,there,0
"I am not visible, tangible, or corrupt. I am genuine, given, and real. It takes three of these to figure out what is left. What am I?",innocent,now,there,right,3
What's square but travels the world?,raccoon,stamp,puppy,signature,1
What's square but travels the world?,signature,stamp,sticker,puppy,1
What makes leaping off a bridge fun?,hammock,bungee,parachute,rope,1
What makes leaping off a bridge fun?,rope,parachute,bungee,mouse,2
Special abilities and brightly colored underwear are all you need to be one of these.,comic book,spider-man,superhero,villain,2
Special abilities and brightly colored underwear are all you need to be one of these.,spider-man,Batman,villain,superhero,3
I am a ball that can be rolled but never bounced or thrown. What am I?,fingernail,eyelids,eyeball,abdomen,2
I am a ball that can be rolled but never bounced or thrown. What am I?,eyelids,abdomen,nose,eyeball,3
if forward is going ahead and toward is coming at you what is a cow moving forward toward you?,liar,coward,sheep,hypocrite,1
if forward is going ahead and toward is coming at you what is a cow moving forward toward you?,coward,liar,sheep,animal,0
The fans of the pied piper's smooth sound who are feared by elephants.,rabbits,mice,rats,Macbook,1
The fans of the pied piper's smooth sound who are feared by elephants.,mice,rats,rabbits,tablet,0
"I can make you blush on contact. Turn you into a doll, and shapeshift your appearance. I am desired by all young women and clowns. What am I?",mascara,eyeliner,wig,makeup,3
"I can make you blush on contact. Turn you into a doll, and shapeshift your appearance. I am desired by all young women and clowns. What am I?",eyeliner,makeup,lipstick,wig,1
"My first's last starts with S, and ends with Y, And oddly, my last's first does too. At the end of its last, it is sure to die, For my last first's to rise anew. The five between the first and last, Are not around when I awaken. If you think there is anything between last and first, Alas, you are sadly mistaken. My first's last, last is at my last's first last! And last of the five between, By the time you are through the last first, The first last will have been!  So, now, tell the answer to this rhyme; Come on, come on, it is about time! If you think hard, it won't be long - .'Til I won't have to speak in song.",weekend,night,evening,workout,0
"My first's last starts with S, and ends with Y, And oddly, my last's first does too. At the end of its last, it is sure to die, For my last first's to rise anew. The five between the first and last, Are not around when I awaken. If you think there is anything between last and first, Alas, you are sadly mistaken. My first's last, last is at my last's first last! And last of the five between, By the time you are through the last first, The first last will have been!  So, now, tell the answer to this rhyme; Come on, come on, it is about time! If you think hard, it won't be long - .'Til I won't have to speak in song.",workout,evening,weekend,Sunday,2
"What grows in winter, dies in summer, and grows roots upward?",icicle,tornado,poison,snowman,0
"What grows in winter, dies in summer, and grows roots upward?",meteor,tornado,snowman,icicle,3
I am a food with 5 letters. If you remove the first letter I am a form of energy. Remove two and I'm needed to live. Scramble the last 3 and you can drink me down. What am I?,wheat,bread,dairy,vegetables,0
I am a food with 5 letters. If you remove the first letter I am a form of energy. Remove two and I'm needed to live. Scramble the last 3 and you can drink me down. What am I?,wheat,bread,corn,dairy,0
What when read from right to left is a servant but when read from left to right is a ruler?,Jesus,heaven,allah,god,3
What when read from right to left is a servant but when read from left to right is a ruler?,holy spirit,god,Jesus,heaven,1
I can sneak up on you or be right in front of you without you knowing. But when I reveal myself you will never be the same. Who am I?,betrayal,delve,anger,scarabs,0
I can sneak up on you or be right in front of you without you knowing. But when I reveal myself you will never be the same. Who am I?,betrayal,anger,jealousy,delve,0
"Some say I'm their worst enemy, Some say I'm their best friend. Some use me in brevity, You'll still pay for what I lend. There's proof that I can even kill, Too many take that path. There's claim also that I can heal, You'll have to do the math. Yes, uses for me do abound, You'll see me often, look around.",cigarettes,marijuana,caffeine,alcohol,3
"Some say I'm their worst enemy, Some say I'm their best friend. Some use me in brevity, You'll still pay for what I lend. There's proof that I can even kill, Too many take that path. There's claim also that I can heal, You'll have to do the math. Yes, uses for me do abound, You'll see me often, look around.",alcohol,cigarettes,marijuana,tobacco,0
What word looks the same upside down and backwards?,swims,ocean,dives,shark,0
What word looks the same upside down and backwards?,dives,swims,shark,sails,1
"It is hate and has hate in it, but it isn’t hate.",anger,bigotry,Florida Keys,hatred,3
"It is hate and has hate in it, but it isn’t hate.",anger,valley,hatred,bigotry,2
Gods' arrows cannot be counted,snow,rain,colors,weather,1
Gods' arrows cannot be counted,unicorn,rain,weather,snow,1
I'm in your phone. Sometimes I laugh. Sometimes I cry. I even flip you off from time to time. What am I ?,emoticon,onomatopoeia,emoji,comic sans,2
I'm in your phone. Sometimes I laugh. Sometimes I cry. I even flip you off from time to time. What am I ?,emoji,onomatopoeia,comic sans,exclamation point,0
"Danube, Rhine, Amazon. Nile, Thames, Ganges. Hudson and Rio Grande. What are all of these?",rivers,waterfalls,ocean,lakes,0
"Danube, Rhine, Amazon. Nile, Thames, Ganges. Hudson and Rio Grande. What are all of these?",rivers,waterfalls,equator,ocean,0
"In the prairie it was stabbed, in the house it was pulled.",fish,crabgrass,seedlings,mulch,1
"In the prairie it was stabbed, in the house it was pulled.",crabgrass,lobster,mulch,fish,0
"I often eat junk, but also things with more bulk. What I eat, I do not consume, and what goes in my mouth comes back out of it. I don't speak to you, but you can still get information from me. I'm numbered among many friends. What am I?",mailman,pillow,mailbox,teddy bear,2
"I often eat junk, but also things with more bulk. What I eat, I do not consume, and what goes in my mouth comes back out of it. I don't speak to you, but you can still get information from me. I'm numbered among many friends. What am I?",recycling bin,pillow,mailbox,teddy bear,2
A mighty weapon in the war against winged household pests.,baseball bat,scissors,flyswatter,broom,2
A mighty weapon in the war against winged household pests.,broomstick,flyswatter,broom,baseball bat,1
"We can come in a pack and can come in all sizes, We have a few colours but the smaller ones are white, To beat a smaller one you usually need a bigger one,  What are we?",dishonesty,deceit,lies,teddy bear,2
"We can come in a pack and can come in all sizes, We have a few colours but the smaller ones are white, To beat a smaller one you usually need a bigger one,  What are we?",mattress,teddy bear,lies,deceit,2
"They fill me up and you empty me, almost everyday; if you raise my arm, I work the opposite way. What am I?",mailbox,mailman,pillow,recycling bin,0
"They fill me up and you empty me, almost everyday; if you raise my arm, I work the opposite way. What am I?",recycling bin,pillow,teddy bear,mailbox,3
"What is that which, while it lives, constantly changes its habit, that is buried before it is dead, and whose tomb is valued wherever it is found?",larvae,caterpillar,leather,silkworm,3
"What is that which, while it lives, constantly changes its habit, that is buried before it is dead, and whose tomb is valued wherever it is found?",cotton,leather,larvae,silkworm,3
I have eight corners yet my shadow often takes the shape of a hexagon. What am I?,infinity,cone,sphere,cube,3
I have eight corners yet my shadow often takes the shape of a hexagon. What am I?,cone,cube,sphere,hexagon,1
"""What body part is a ""mug""?""",face,estate,eyes,defendant,0
"""What body part is a ""mug""?""",mouth,eyes,estate,face,3
What can be white and yellow at the same time?,tooth,tongue,dentist,gums,0
What can be white and yellow at the same time?,tooth,dentist,gums,nail,0
What gets easier to pick up the larger it gets?,female,mother,girl,woman,3
What gets easier to pick up the larger it gets?,girl,woman,boyfriend,mother,1
My thunder comes before my lightning. My lightning comes before my rain. And my rain dries all the ground it touches. What am I?,ocean,lava,waterfall,volcano,3
My thunder comes before my lightning. My lightning comes before my rain. And my rain dries all the ground it touches. What am I?,ocean,volcano,lava,mountain,1
What common English verb becomes its own past tense by rearranging its letters?,snack,oxygen,lungs,eat,3
What common English verb becomes its own past tense by rearranging its letters?,eat,oxygen,lungs,drink,0
What type of drink is usually added to cereal in the morning?,syrup,milk,cashew,cereal,1
What type of drink is usually added to cereal in the morning?,cashew,syrup,milk,yogurt,2
"Monday's can be depressing which is why you need me, I I have a national day in which I'm given out for free. What am I?",drink,caffeine,beer,coffee,3
