,question,answer,a,b,c
134,An archaeologist finds a coin dated 48 B.C. How did he know it was a fake?,BC is before Christ. Christ was not yet born when the coin would have been made and the date would be impossible.,"The coin had a modern design and materials, making it obvious that it was a fake.",The coin had markings or symbols that were not consistent with the time period it was supposed to be from.,The coin had an inscription or language that did not exist during the time it was supposed to be made.
135,"An arm points north, east, south, then west.Ever in circles, never pausing to rest.It passes its brother twenty three times,As the sun passes by and the moon starts to climb.What is it?",A clock,A compass,A sundial,A calendar
136,"An old man, Dave, lives alone in a flat. Because of his age , he is not able to move comfortably and hence most of the things used to be delivered to his house.On Friday while delivering the mail, the postman feels something suspicious in the flat and try to look inside through the key hole and he saw the bloody body of the old man.Homicide arrived the scene. On the outside of flat, they find two bottles of warm milk, Tuesday newspaper, some unopened mails and some gifts.Homicide waste no time and find the murderer almost immediately. How did they do it, and who was the murderer?",Newspaper delivery man was the murderer because of absence of Wednesday and Thursday missing newspaper.This indicates he already know that there is no one to read it.,The postman was the murderer because he had access to the key and could have easily entered the flat.,The old man's neighbor was the murderer because they had a motive to harm him.,"The gifts were poisoned and the old man accidentally consumed them, resulting in his death."
137,"An old man, Dave, lives alone in a flat. Because of his age , he is not able to move comfortably and hence most of the things used to be delivered to his house.On Friday while delivering the mail, the postman feels something suspicious in the flat and try to look inside through the key hole and he saw the bloody body of the old man.Homicide arrived the scene. On the outside of flat, they find two bottles of warm milk, Tuesday newspaper, some unopened mails and some gifts.Homicide waste no time and find the murderer almost immediately. How did they do it, and who was the murderer?",Newspaper delivery man was the murderer because of absence of Wednesday and Thursday missing newspaper.This indicates he already know that there is no one to read it.,The postman was the murderer because he had access to the key and could have easily entered the flat undetected.,The old man's neighbor was the murderer because they had a motive to harm him and could have easily gained access to his flat.,The old man's caregiver was the murderer because they had the opportunity to commit the crime while taking care of him.
138,"An old woman sweeps behind the house, but the dust turns up at your doorstep.What is it?",A blizzard.,A broom,A vacuum cleaner,A gust of wind
139,"Anyone can hold me, even without their hands, yet no one can do it for long.What am I?",Your breath.,Air,Wind,Oxygen
140,"Armless, legless, I crawl around when I'm young.Then the time of changing sleep will come.I will awake like a newborn, flying beast,'till then on the remains of the dead I feast.Who am I?",A caterpillar.,A snake,A spider,A worm
141,Arnold Schwarzenegger's is really long. Michael J. Fox's is really short. Mickey Mouse's isn't human. Madonna doesn't have one. What is it?,A last name.,A middle name,A nickname,A stage name
142,"Artichokes are considered to be the most loving vegetable, but why?",They have hearts.,They are red.,They are shaped like hearts.,They are often given as gifts on Valentine's Day.
143,"As a stone inside a tree, I'll help your words outlive thee. But if you push me as I stand, the more I move the less I am.What am I?",A pencil.,A pen,A typewriter,A computer
144,"As beautiful as the setting sun,As delicate as the morning dew;An angel's dusting from the starsthat can turn the Earth intoA frosted moon.What am I?",Snow,Ice,Frost,Hail
145,"As destructive as life, As healing as death; An institutioner of strife, Just as prone to bless. It is all that is good, Yet with an evil trend; As it was the beginning of things, It can also be the end. What is it?",It is fire,Water,Air,Earth
146,"As I was going o'er London Bridge, I heard something crack. Not a man in all England can mend that!What is it?",Ice.,Glass,Mirror,Bone
147,"As I went across the bridge, I met a man with a load of wood which was neither straight nor crooked. What kind of wood was it?",Sawdust.,Firewood,Plywood,Driftwood
148,"As small as your thumb, I am light in the air.You may hear me before you see me, But trust me, I'm there.What am I?",A hummingbird.,A butterfly,A mosquito,A dragonfly
149,"At night they come without being fetched,And by day they are lost without being stolen.Whar are they?",Stars,Moon,Clouds,Fireflies
150,"At the sound of me, men may dream or stamp their feet. At the sound of me, women may laugh or sometimes weep.What am I?",Music.,Noise,Silence,Words
151,"Balloons and cards, and bearsUse this red shape to sayThat I love you so muchEvery Valentine's Day.What is it?",A heart.,A flower,A box of chocolates,A love letter
152,"Before Mount Everest was discovered, what was the highest mountain on Earth?",Mount Everest,K2,Kangchenjunga,Makalu
153,"Before the game, the spectator knew that the score would be nil-nil. How?",The score is always nil-nil before the game starts.,The referee announced it would be a scoreless game.,Both teams agreed to start the game with a score of nil-nil.,The scoreboard displayed a score of nil-nil before the game began.
154,"Ben has math lessons 4 times a week. If he has math 8:00 Monday, 9:20 on Tuesday, 10:40 on Wednesday, and 1:20 on Friday, when does Ben have math on Thursday?","He doesn't have math on Thursday... Only 4 times a week, remember?",He has math at 12:00 on Thursday,He has math at 2:40 on Thursday,He has math at 3:30 on Thursday
155,"Ben has math lessons 4 times a week. If he has math 8:00 Monday, 9:20 on Tuesday, 10:40 on Wednesday, and 1:20 on Friday, when does Ben have math on Thursday?","He doesn't have math on Thursday... Only 4 times a week, remember?",Ben has math at 12:00 on Thursday,Ben has math at 2:40 on Thursday,Ben has math at 3:30 on Thursday
156,"Big as a biscuit, deep as a cup, even a river can't fill it up. What is it?",A kitchen strainer.,A bathtub,A swimming pool,A bucket
157,"Black within, red without, with four corners, roundabout. What is it?",A chimney.,A fireplace,A stove,A lantern
158,"Born in water, I drown in water.A blood-thirsty beast you can barely see.What am I?",A mosquito.,A jellyfish,A leech,A vampire bat
159,"Breakfast or dinner, I always taste great,I come from an animal that never stays up late. Who am I?",Egg,Bacon,Milk,Cereal
160,Bright pearls were scattered on a black cloth.What are they?,The sky and the stars.,Diamonds,Grapes,Snowflakes
161,"Brothers and sisters I have none, but this man's father is my father's son. Who is the man?",My son.,His brother,His cousin,His nephew
162,"Can you complete the pyramid by replacing X, Y and ""?"" with the correct number?","The pyramid goes as follows:Row 1: 100| Row 2: 65,35| Row 3: 34,31,4 | Row 4: 10,24,7,-3","100, 65, 34","35, 31, 10","4, 7, -3"
163,Can you make a word out of these two rows of matches without moving them?,"LOTTOExplanation:Just flip the two rows 1 and 2 vertically, you will find the word ""Lotto"".",TOOL,LOOT,LOOTED
164,"Can you name three consecutive days without using the words Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, or Sunday?","Yesterday, Today, and Tomorrow.","Monday, option","Day 1, option","Past, option"
165,Can you solve the temple riddle?,"Well since you know you are not one of the cursed you can go down a tunnel yourself but you want a good answer from the rest so you split the groups in three leaving two left. Let those two go down one tunnel and the other six go down two separate tunnels as well. When you all meet back 20 minutes later either you have found the tunnel or someone else. Now look at the rule majority rules. If the group of three has 2 people saying it wasn't down that tunnel then you should know it wasn't down that tunnel and one of the liars have been spotted. Same with the other group of three as well as the group of two. Judging by the answers the groups gave you, you should go down the right tunnel and head to safety while the spirits possessing the two people should leave and all is well.","Since you know you are not one of the cursed, you can go down a tunnel yourself and hope for the best. If you don't find the tunnel, you can always come back and try another one.","Split the groups in three and let each group go down a different tunnel. After 20 minutes, gather everyone back and discuss their findings. Based on the majority opinion, choose the tunnel that most people believe is the correct one.","Form three groups of equal size and have each group explore a different tunnel. After 20 minutes, regroup and share the information. Analyze the responses and choose the tunnel that seems to have the most consistent and reliable answers."
166,Can you write down eight eights so that they add up to one thousand?,888 + 88 + 8 + 8 + 8 = 1000,888 + 88 + 8 + 8 + 8 = 1008,888 + 88 + 8 + 8 + 8 = 1080,888 + 88 + 8 + 8 + 8 = 880
167,Can you write down eight eights so that they add up to one thousand?,888 + 88 + 8 + 8 + 8 = 1000,888 + 88 + 8 + 8 + 8 = 1008,888 + 88 + 8 + 8 + 8 = 1088,888 + 88 + 8 + 8 + 8 = 880
168,"Casey buys a bracelet. She pays for the bracelet and pays $0.72 in sales tax. The sales tax rate is 6%.What is the original price of the bracelet, before tax?",The bracelet originally cost $12,$10.50,$11.25,$13.50
169,"Casey buys a bracelet. She pays for the bracelet and pays $0.72 in sales tax. The sales tax rate is 6%.What is the original price of the bracelet, before tax?",The bracelet originally cost $12,The bracelet originally cost $10,The bracelet originally cost $8,The bracelet originally cost $15
170,"City name sounds like: ""Sprouts' first name.""",Brussels (Belgium),Paris (France),Rome (Italy),Berlin (Germany)
171,"Colorful flowersBloomed in the garden,Beautiful colorsBut autumn is coming.What flowers are they?",Astra.,Rose,Tulip,Sunflower
172,"Complete the sentence:If Tom's father is Tony, then Tony is the _____ of Tom's father.",Name.,Brother,Cousin,Uncle
173,"Creatures of power, creatures of grace,Creatures of beauty, creatures of strength.As for their lives, they set everything's pace,For all things must come to live under their emerald embrace. . .Either in their life, or in their death.What am I?",A tree,A flower,A mountain,A lion
174,"Cupid without a bow.Donner with no kebab.One who dances, one who prances, all dragging present-giving dad.What am I?",A reindeer.,A sleigh,A snowman,A Christmas tree
175,"Current, serious, steady, or fast, It can also be either painful or beautiful,And sometimes it can forever last.What is it?",A relationship.,Love,Time,Emotion
176,"Dark with white markings, And smooth like a rock. Where learning occurs, I help convey thought. What am I?",Blackboard,Chalkboard,Whiteboard,Smartboard
177,"Dave and Brad, two popular politicians, met at a club to discuss the overthrow of their party leader. They each ordered a vodka on the rocks. Brad downed his and ordered another. He then drank his second in a gulp and decided to wait before he ordered a third. Meanwhile, Dave, who was sipping his drink, suddenly fell forward dead. Both men were set up for assassination. Why did Dave die and Brad live?",Both Dave and Brad were given drinks with poisoned ice cubes. Brad drank his drinks so quickly that the ice didn't have time to melt and release the poison.,Dave died because he had a pre-existing medical condition that caused him to have a sudden heart attack.,Dave died because he accidentally ingested a different poisonous substance earlier in the day.,Dave died because he had an allergic reaction to an ingredient in his drink.
178,"David was known as being lazy. He agreed to work on a job for his brother-in-law for thirty hours at eight dollars an hour, on the condition that he would forfeit ten dollars per hour for every hour that he idled. At the end of the thirty hours David wasn't owed any money and didn't owe his brother-in-law any money either. How many hours did Larry work and how many hours did he idle?","Lazy David worked 16-2/3 hours and idled 13-1/3 hours. 16 and 2/3 hours, at $8.00 an hour amounts to the same amount as 13 and 1/3 hours at $10.00 per hour.","Lazy David worked 20 hours and idled 10 hours. 20 hours, at $8.00 an hour amounts to the same amount as 10 hours at $10.00 per hour.","Lazy David worked 15 hours and idled 15 hours. 15 hours, at $8.00 an hour amounts to the same amount as 15 hours at $10.00 per hour.","Lazy David worked 12 hours and idled 18 hours. 12 hours, at $8.00 an hour amounts to the same amount as 18 hours at $10.00 per hour."
179,"David was known as being lazy. He agreed to work on a job for his brother-in-law for thirty hours at eight dollars an hour, on the condition that he would forfeit ten dollars per hour for every hour that he idled. At the end of the thirty hours David wasn't owed any money and didn't owe his brother-in-law any money either. How many hours did Larry work and how many hours did he idle?","Lazy David worked 16-2/3 hours and idled 13-1/3 hours. 16 and 2/3 hours, at $8.00 an hour amounts to the same amount as 13 and 1/3 hours at $10.00 per hour.","Lazy David worked 20 hours and idled 10 hours. 20 hours, at $8.00 an hour amounts to the same amount as 10 hours at $10.00 per hour.","Lazy David worked 15 hours and idled 15 hours. 15 hours, at $8.00 an hour amounts to the same amount as 15 hours at $10.00 per hour.","Lazy David worked 25 hours and idled 5 hours. 25 hours, at $8.00 an hour amounts to the same amount as 5 hours at $10.00 per hour."
180,"Dead on the field lie ten soldiers in white, felled by three eyes, black as night. What happened?",A bowling ball knocked down ten pins.,A sniper shot down ten soldiers in a war.,A deadly virus killed ten soldiers on the battlefield.,A lightning strike electrocuted ten soldiers during a storm.
181,Did Adam and Eve ever have a date?,"No, but they surely had apples.","Yes, they went to a fancy restaurant.","No, they were too busy gardening.","Maybe, but it wasn't recorded in history."
182,Did Adam and Eve ever have a date?,"No, but they surely had apples.","Yes, they went to a fancy restaurant.","No, they were too busy with their garden.","Maybe, but it wasn't recorded in history."
183,Do you know a fruit that is friendly and enjoys meeting new people?,A Date,A Banana,A Pineapple,A Watermelon
184,"Dr. Miller was staying with his cousin, Alfred, in Alfred's lakeside cabin. They were setting up Alfred's will. Since Dr. Miller was Alfred's closest living relative, much of Alfred's estate was being left to him.One day, Alfred went to Dr. Miller very upset.""Doctor,"" he began, ""I have just found out that an old enemy is out to get me. He is coming very soon. Where will I go? Where can I hide? If he finds me, he will surely kill me. I do not have time to leave this cabin and hide in the woods.""Dr. Miller thought for a moment, and then grabbed a 5â€² long bamboo fishing pole, with a diameter the size of a quarter.""Alfred, follow me out to the lake. This lake is 4â€² deep. If you lie on the bottom of the lake and breathe through this pole, your enemy will never find you. I will be in the bulrushes with a shotgun, and I will shoot him when he comes. I will swim down to find you when he is gone.""Alfred thought that was a great idea and went down to the lake with the bamboo pole in his mouth.A few hours later, a ranger passed by. He found Alfred's body. Dr. Miller told the police of the circumstance, and that Alfred had probably panicked, and died.Police arrested Dr. Miller on the charge of murdering Alfred. Why?","The pole was 5â€² long, but only the size of a quarter. The first time he breathed in, he breathed oxygen. When he exhaled, the air could not travel 5â€² before he breathed in again. He was just breathing what he exhaled. Before long, all he was breathing was carbon dioxide. He died of CO2 poisoning. Dr. Miller was the one who told him to use the pole. However, he was knowledgeable about the human body and knew breathing only carbon dioxide would result in Alfred's death. His motive? The money in Alfred's will.",Alfred drowned in the lake,Alfred was attacked by the enemy,Alfred had a heart attack
185,"Dr. Miller was staying with his cousin, Alfred, in Alfred's lakeside cabin. They were setting up Alfred's will. Since Dr. Miller was Alfred's closest living relative, much of Alfred's estate was being left to him.One day, Alfred went to Dr. Miller very upset.""Doctor,"" he began, ""I have just found out that an old enemy is out to get me. He is coming very soon. Where will I go? Where can I hide? If he finds me, he will surely kill me. I do not have time to leave this cabin and hide in the woods.""Dr. Miller thought for a moment, and then grabbed a 5â€² long bamboo fishing pole, with a diameter the size of a quarter.""Alfred, follow me out to the lake. This lake is 4â€² deep. If you lie on the bottom of the lake and breathe through this pole, your enemy will never find you. I will be in the bulrushes with a shotgun, and I will shoot him when he comes. I will swim down to find you when he is gone.""Alfred thought that was a great idea and went down to the lake with the bamboo pole in his mouth.A few hours later, a ranger passed by. He found Alfred's body. Dr. Miller told the police of the circumstance, and that Alfred had probably panicked, and died.Police arrested Dr. Miller on the charge of murdering Alfred. Why?","The pole was 5â€² long, but only the size of a quarter. The first time he breathed in, he breathed oxygen. When he exhaled, the air could not travel 5â€² before he breathed in again. He was just breathing what he exhaled. Before long, all he was breathing was carbon dioxide. He died of CO2 poisoning. Dr. Miller was the one who told him to use the pole. However, he was knowledgeable about the human body and knew breathing only carbon dioxide would result in Alfred's death. His motive? The money in Alfred's will.",Alfred drowned in the lake,Alfred was attacked by a wild animal,Alfred had a heart attack
186,"Duels of good and evil, A fighter of good am I, Revealed beside watched words, King of the black night sky. What am I?",The dark.,The light,The sun,The hero
187,Even the president takes his hat off for me. Who am I?,A barber.,A chef,A doctor,A teacher
188,"Every dawn begins with meAt dusk I'll be the first you seeAnd daybreak couldn't come withoutWhat midday centers all aboutDaises grow from me, I'm toldAnd when I come, I end all coldBut in the sun I won't be foundYet still, each day I'll be around.",The letter D.,The color blue,The number 7,The sound of a bell
189,"Every day, a woman was seen crossing the border carrying bags of sand on a bicycle. After some time, the border police become suspicious and stop her, but found she only had sand on her, so they let her go. Years later, they get a mysterious invitation for a party at a large villa. The owner comes out to greet them, it is the woman that has been crossing for years! How did this happen?",She was smuggling bicycles.,She had a secret tunnel under the border,She used a teleportation device,She disguised the bicycles as bags of sand.
190,"Every man has me. I'm a word that begins with the letter ""P"" and for me to grow, I need stimulation. What am I?",The pupils of his eye.,The petals of a flower,The power of love,The passion of a dream
191,"Every man has me. I'm a word that begins with the letter ""P"" and for me to grow, I need stimulation. What am I?",The pupils of his eye.,The power of his mind,The passion in his heart,The potential in his dreams
192,"Everyone asks for me, but everyone hates to face me. For some I am agony. For others, I am relief.What Am I?",The truth.,Lies,Deception,Denial
193,Everyone needs it. Everyone gives it. But few ever take it. What is it?,Advice.,Wisdom,Guidance,Opinion
194,"Feed me and I live, give me drink and I die. What am I?",Fire,Water,Food,Air
195,"Feed me and I live, yet give me a drink and I die, What am I?",A match,A candle,A plant,A battery
196,"First you see me in the grass dressed in yellow gay;next I am in dainty white, then I fly away. What am I?",A dandelion,A sunflower,A tulip,A daisy
197,"Five apples are in a basket. How do you divide them among five girls so that each girl gets an apple, but one apple remains in the basket?",Give the fifth girl her apple in the basket.,Give each girl one apple and leave the fifth apple in the basket.,Give four girls an apple each and leave the fifth apple in the basket.,Give the first four girls an apple each and leave the fifth apple in the basket.
198,"Formed long ago, yet made today, Employed while others sleep. What none would freely give away. Nor any wish to keep. What is it?",A bed.,A pillow,A blanket,A mattress
199,"Forward I'm heavy, but backward I'm not. What am I?",Ton.,Not,Light,On
200,"Four golfers named Mr. Black, Mr. White, Mr. Brown and Mr. Blue were competing in a tournament. The caddie didn't know their names, so he asked them. One of them, Mr. Brown, told a lie.The 1st golfer said ""The 2nd Golfer is Mr. Black.""The 2nd golfer said ""I am not Mr. Blue!""The 3rd golfer said ""Mr. White? That's the 4th golfer.""And the 4th golfer remained silent. Which one of the golfers is Mr. Blue?",The 3rd one.,The 1st one,The 2nd one,The 4th one
201,"Four letters form me quite complete, As all who breathe do show; Reversed, you'll find I am the seat Of infamy and woe. Transposed, you'll see I'm base and mean, Again of Jewish race; Transposed once more, I oft am seen To hide a lovely face. What are the five words?","Live, evil, vile, Levi, veil.","Life, vile, evil, Levi, veil.","Live, vile, evil, Livi, veil.","Live, evil, vile, Livi, veil."
202,"Four people need to cross a bridge in 17 minutes in the middle of the night. The bridge can only hold two or less people at any time and they only have one flashlight so they must travel together (or alone). The flashlight can only travel with a person so every time it crosses the bridge it must be carried back. Tom can cross in 1 minute, John can cross in 2 minutes, Sally can cross in 5 minutes, and Connor can cross in 10 minutes. If two people cross together they go as fast as the slower person.How can they cross the bridge in 17 minutes or less?",First Tom and John will cross (2 minutes). Then Tom will bring the flashlight back (1 minute). Next Sally and Connor will cross (10 minutes). Then John will bring the flashlight back (2 minutes). Finally John and Tom will cross (2 minutes). 2 + 1 + 10 + 2 + 2 = 17 minutes.,First Tom and Sally will cross (5 minutes). Then Tom will bring the flashlight back (1 minute). Next John and Connor will cross (10 minutes). Then Sally will bring the flashlight back (5 minutes). Finally Sally and Tom will cross (5 minutes). 5 + 1 + 10 + 5 + 5 = 26 minutes.,First Sally and Connor will cross (10 minutes). Then Sally will bring the flashlight back (5 minutes). Next Tom and John will cross (2 minutes). Then Sally will bring the flashlight back (5 minutes). Finally Sally and Tom will cross (5 minutes). 10 + 5 + 2 + 5 + 5 = 27 minutes.,First Tom and Sally will cross (5 minutes). Then Tom will bring the flashlight back (1 minute). Next John and Connor will cross (10 minutes). Then Tom will bring the flashlight back (1 minute). Finally Tom and Sally will cross (5 minutes). 5 + 1 + 10 + 1 + 5 = 22 minutes.
203,"From house to house I go,sometimes narrow,sometimes wide.And whether there's rain or snow,I always stay outside.What am I?",Path,Road,Trail,Sidewalk
204,"From that which comes within itself,It builds its table on my shelf.What is it?",A spider.,A bee,A bird,A squirrel
205,"Give me food, and I will live. Give me water, and I will die. What am I?",Fire.,Plant,Rock,Air
206,"Given two 2s, ""plus"" can be changed to ""times"" without changing the results: 2 + 2= 2 x 2.The solution with three numbers is easy too: 1 + 2 + 3= 1 x 2 x 3.Now find the answer for 4 numbers and for 5 numbers.",For 4 numbers:1 + 1 + 2 + 4= 1 x 1 x 2 x 4.For 5 numbers:1 + 1 + 1 + 2 + 5= 1 x 1 x 1 x 2 x 4 1 + 1 + 1 + 3 + 3= 1 x 1 x 1 x 2 x 41 + 1 +2 + 2 + 2= 1 x 1 x 2 x 2 x 2,1 + 2 + 3 + 4 = 1 x 2 x 3 x 4,2 + 2 + 2 + 2 = 2 x 2 x 2 x 2,1 + 1 + 1 + 1 = 1 x 1 x 1 x 1
207,"Given two 2s, ""plus"" can be changed to ""times"" without changing the results: 2 + 2= 2 x 2.The solution with three numbers is easy too: 1 + 2 + 3= 1 x 2 x 3.Now find the answer for 4 numbers and for 5 numbers.",For 4 numbers:1 + 1 + 2 + 4= 1 x 1 x 2 x 4.For 5 numbers:1 + 1 + 1 + 2 + 5= 1 x 1 x 1 x 2 x 4 1 + 1 + 1 + 3 + 3= 1 x 1 x 1 x 2 x 41 + 1 +2 + 2 + 2= 1 x 1 x 2 x 2 x 2,For 4 numbers,For 5 numbers,For 4 numbers
208,"Glittering points that downward thrust, sparkling spears that never rust. What is it?",An Icicle.,A diamond,A shooting star,A disco ball
209,"Halo of water, tongue of wood, skin of stone, long I've stood.What am I?",A castle.,A tree,A mountain,A statue
210,"Hands she has but does not hold,teeth she has but does not bite,feet she has but they are cold,eyes she has but without sight.Who is she?",A doll.,A mannequin,A statue,A manikin
211,"He has married many women, but has never been married. Who is he?",A Priest,A bachelor,A widower,A monk
212,"He hated the Eiffel tower, so every day in Paris he ate on the first floor of the tower. Why did he do that?",It was the only place he couldn't see the Eiffel tower from.,He wanted to avoid the long lines on the higher floors.,He preferred the view from the first floor.,He enjoyed the food on the first floor more than the other floors.
213,"Hick-a-more, Hack-a-more, On the kitchen floor;All the horses, all the men,Couldn't driveHick-a-more, Hack-a-more,Off the kitchen floor.",Sunshine.,Moonlight,Raindrop,Starlight
214,"Hick-a-more, Hack-a-more, On the kitchen floor;All the horses, all the men,Couldn't driveHick-a-more, Hack-a-more,Off the kitchen floor.",Sunshine.,Moonlight,Raindrops,Starlight
215,"Hold the tail, While I fish for you. What am I?",A net.,A fishing rod,A fishing hook,A fishing line
216,"Hot or cold, running or still, hard or soft, I can be anything. What am I?",Water,Fire,Air,Earth
217,How can you tell a dogwood tree apart from other trees?,By its bark.,By its leaves,By its height,By its flowers
218,How could a baby fall out of a twenty-store building onto the ground and live?,The baby fell out of a ground floor window.,The baby was caught by a passing bird and gently placed on the ground.,The baby was wearing a parachute and safely landed on the ground.,The baby was held by a superhero who flew down and placed the baby on the ground.
219,"How could the 22nd and 24th presidents of the United States have the same parents, but weren't brothers?","It was the same person, Grover Cleveland, who was elected twice, not in a row.","They were twins, but one was adopted by another family.","They were half-brothers, sharing only one parent.","They were cousins, but referred to each other as brothers."
220,How did Ben Franklin feel after discovering electricity?,Shocked,Surprised,Excited,Amazed
221,How did the baseball player lose his house?,He made his home run.,He struck out on his mortgage.,He couldn't catch a break with his rent.,He was thrown out at home by the bank.
222,How did the pickle confess his love to his valentine?,"He said, ""you mean a great dill to me.""","He said, ""you're the sweetest cucumber in my jar.","He said, ""our love is like a jar of pickles, it's preserved forever.","He said, ""you're the brine to my pickle, always keeping me fresh."
223,How did the pickle confess his love to his valentine?,"He said, ""you mean a great dill to me.""","He said, ""you're the sweetest cucumber in my jar.","He said, ""our love is like a jar of pickles, it's preserved forever.","He said, ""you're the brine to my pickle, always keeping me flavorful."
224,How did the pickle confess his love to his valentine?,"He said, ""you mean a great dill to me.""","He said, ""you're the sweetest cucumber in my jar.","He said, ""our love is like a jar of pickles, it's preserved forever.","He said, ""you're the perfect blend of tangy and crunchy, just like a pickle."
225,How did the sculpture confess her love?,I love you with all of my art.,I love you with all of my clay.,I love you with all of my chisel.,I love you with all of my masterpiece.
226,How do Easter bunnies travel?,By HAREplanes.,By Bunny Buses,By Carrots Cars,By Rabbit Rockets
227,How do Easter bunnies travel?,By HAREplanes.,By Carrots,By Bunny Hops,By Eggshells
228,How do fall leaves travel from one place to another?,With autumn-mobiles.,By flying on the wind,By hitching a ride on animals,By magically teleporting
229,How do football players stay cool during the game?,They stand close to the fans,They wear ice packs,They drink cold water,They use cooling towels
230,How do mummies like their food?,Wraps,Sandwiches,Salads,Soup
231,How do rodents travel in the water?,By vole canoe.,By rat paddle,Through mouse swimming,Using hamster floaties
232,How do we know that football referees are happy?,Because they whistle while they work.,Because they get paid well.,Because they love the sport.,Because they enjoy being in control.
233,How do you go from 98 to 720 using just one letter?,"Add an ""x"" between 90 and 8 -  Ninety x Eight = 720",Multiply 98 by 7 and then add 20 - (98 * 7) + 20 = 720,Rearrange the digits of 98 to get 89 and then multiply by 8 - 89 * 8 = 720,Subtract 98 from 818 - 818 - 98 = 720
234,How do you know that a wedding is really emotional?,Even the cake is in tiers.,The bride cries throughout the entire ceremony.,The groom gets choked up during his vows.,The guests are seen wiping away tears during the speeches.
235,How do you make 7 even?,Remove the S!,Add an E!,Multiply it by 2!,Divide it by 14!
236,How do you make 7 even?,Remove the S!,Add an even number to 7,Multiply 7 by 2,Divide 7 by 2
237,How do you make the word 'one' disappear?,Add a G - Gone.,Remove the 'o' - ne,Change the 'o' to 'a' - nane,Rearrange the letters - eon
238,How do you spell hard water with three letters?,Ice,H2O,Wet,Aqua
239,How far can a dog run into the woods?,"Only halfway, after that, he's running OUT of the woods.",As far as it wants to,Until it gets tired,Until it reaches the end of the woods
240,How far can a dog run into the woods?,"Only halfway, after that, he's running OUT of the woods.",Until it gets tired,Until it reaches the end,Until it finds something interesting
241,How far will a blind dog walk into a forest?,"Halfway. Once he crosses the middle line, he starts walking out of the forest.",Until he gets tired and stops,Until he reaches the end of the forest,Until someone guides him out of the forest
242,How high would you have to count before you would use the letter A in the English language spelling of a whole number?,One thousand.,One hundred,Ten thousand,One million
243,How is a baseball team similar to a pancake?,They both need a good batter.,They both need a good pitcher.,They both need a good flip.,They both need a good syrup.
244,"How is it that a person born in Massachusetts, whose parents were both born in Massachusetts, is not born a U.S. Citizen?","If he was born before 1783, then Massachusetts would still be a British colony.","If he was born in a different country, then he would not automatically be a U.S. Citizen.","If his parents were not legal citizens at the time of his birth, then he would not be a U.S. Citizen.","If he renounced his U.S. citizenship after being born, then he would not be a U.S. Citizen."
245,"How many pluses should we put between the digits of 987,654,321 to get a total of 99, and where?","There are 2 ways, with 6 numbers or 7:Six: 9 + 8 + 7 + 6 + 5 + 43 + 21 = 99Seven: 9 + 8 + 7 + 65 + 4 + 3 + 2 + 1 = 99","There are 3 ways, with 5 numbers or 6","There are 1 way, with 8 numbers","There are 4 ways, with 4 numbers or 5"
246,"How many pluses should we put between the digits of 987,654,321 to get a total of 99, and where?","There are 2 ways, with 6 numbers or 7:Six: 9 + 8 + 7 + 6 + 5 + 43 + 21 = 99Seven: 9 + 8 + 7 + 65 + 4 + 3 + 2 + 1 = 99","There are 3 ways, with 5 numbers or 6","There are 4 ways, with 4 numbers or 5","There are 1 way, with 8 numbers"
247,How many seconds are there in one year?,"12 of them: January 2nd, February 2nd, March 2nd, April 2nd, May 2nd, June 2nd, July 2nd, August 2nd, September 2nd, October 2nd, November 2nd, December 2nd.",365,60,24
248,How many sides does a circle have?,Two - inside and outside.,None - a circle is a 2-dimensional shape,Infinite - a circle has an infinite number of points on its circumference,One - a circle has only one continuous curve
249,How many sides does a circle have?,Two - inside and outside.,None - a circle is a 2-dimensional shape,Infinite - a circle has an infinite number of points on its circumference,One - a circle is a continuous curve with no distinct sides
250,How many times can you subtract the number 5 from 25?,Once. After that it's not 25 anymore.,Five times. You can subtract 5 from 25 five times before it's not 25 anymore.,Ten times. You can subtract 5 from 25 ten times before it's not 25 anymore.,Twenty times. You can subtract 5 from 25 twenty times before it's not 25 anymore.
251,How many triangles are in this image?,20 triangles.,15 triangles,25 triangles,10 triangles
252,How many triangles are in this image?,20 triangles.,10 triangles,15 triangles,25 triangles
253,How much did the butcher charge for his venison?,A buck.,Two bucks,Five bucks,Ten bucks
254,I absolutely love holding your buns all day. What am I?,A hair tie.,A sandwich,A pillow,A baseball glove
255,"I always follow my brother, though very different we are. You can see him but not me, you can hear me, but not him.",Thunder.,Lightning,Wind,Rain
256,I always have to work with something in my eye. What am I?,A Needle.,A Camera,A Telescope,A Microscope
257,I always sleep with my shoes on.What am I?,A horse.,A dog,A cat,A bird
258,I am a 7 letter word. I become longer when my third letter is removed. What am I?,Lounger.,Longer,Linger,Lounge
259,I am a ball that can be rolled but never bounced or thrown.What am I?,Eyeball,Marble,Bowling ball,Soccer ball
260,I am a beer yet kids can drink me and never get drunk. What am I?,Root beer,Soda,Ginger ale,Cream soda
261,"I am a container without hinges, a lock, or a key, yet a golden treasure lies inside me. What am I?",An Egg,A safe,A chest,A vault
262,"I am a container without hinges, a lock, or a key, yet a golden treasure lies inside me. What am I?",An Egg,A safe,A vault,A chest
263,"I am a five letters word starting with ""P"". Women really love to get their hands on me. What am I?",Purse.,Wallet,Handbag,Clutch
