questions,answers,Gpt
"A man has three daughters. A second, intelligent man, asked him the ages of his daughters. The first man told him that the product of their ages (them all multiplied together,) was 36. After thinking the second man was unable to find the answer and asked for another clue. The first man replies the sum of their ages is equal to his house door number. Still the second man was unable to answer and asked for another clue. The first man told him that his youngest daughter had blue eyes, and suddenly second man gave the correct answer. What were the ages of the first man's 3 children?","The ages are 6, 6 and 1.to solve, you want to write down all the 3 numbers whose product is 36.1, 1, 361, 3, 121, 4, 91, 2, 181, 6, 62, 2, 92, 3, 63, 3, 4Here's the hardest part, the fact that the doorbell clue was not enough to solve the puzzle means that if we add up each of these options, we get at least two results that are the same, and we need more information to decide which one.These are13: 1, 6, 613: 2, 2, 9Then to find the last hint, knowing that there IS a youngest child, means the smallest child doesn't have another sibling in the same age, meaning that 2,2,9 doesn't work, and we are left with 1, 6 and 6.","option 1:  The ages are 4, 3, and 3.
option 2:  The ages are 2, 2, and 18.
option 3:  The ages are 9, 2, and 2."
"A hundred stones are placed, in a straight line, a yard distant from each other. How many yards must a person walk, who undertakes to pick them up, and place them in a basket stationed one yard from the first stone?","10,100 yards.To collect the stones, the person must walk 1 yard to pick up the first stone, and then they had to double the distance each time - 2 yards, 4 yards, 8 yards etc.To find the answer we multiply 202 by 50 = 10,100 yards.","option 1: 10,000 yards
option 2: 10,200 yards
option 3: 10,500 yards"
"Mickey and Donald decided to take a break from shooting cartoons and played several golf matches against each other in a week. They played for a pizza at each match, but no pizzas were purchased until the end of the week.If at any time Mickey and Donald had the same number of wins, those pizzas were canceled. Mickey won four matches (but no pizzas), and Donald won three pizzas. How many rounds of golf were played?",11 rounds. Donald won 7 matches - Four to cancel out Mickey's and three more to win the pizzas.,"option 1: 10 rounds
option 2: 12 rounds
option 3: 14 rounds"
Three matches are sitting on a table. Without adding another make for three matches four. You are not allowed to break any of the matches.,Shape the 3 matches into a roman numeral four:IV.,"option 1: Combine the three matches to form the letter ""A"" which looks like the number four.
option 2: Arrange the three matches in a way that they form a square shape, which represents the number four.
option 3: Place the three matches in a way that they create a triangle shape, resembling the number four."
Our product and our sum always give the same answer. Who are we?,"1,2,31 + 2 + 3 = 61 * 2 * 3 = 6","option : 1,2,3
option : 4,5,6
option : 7,8,9"
81 x 9 = 801. What must you do to make the this equation true?,Turn it upside down.108 = 18 x 6,"option : 81 x 9 = 810, option : 81 x 9 = 891, option : 81 x 9 = 918"
Can you write down eight eights so that they add up to one thousand?,888 + 88 + 8 + 8 + 8 = 1000,"option 1: 888 + 88 + 8 + 8 + 8 = 1008
option 2: 888 + 88 + 8 + 8 + 8 = 1080
option 3: 888 + 88 + 8 + 8 + 8 = 880"
How many times can you subtract the number 5 from 25?,Once. After that it's not 25 anymore.,"option : ""Five times. You can subtract 5 from 25 five times before it's not 25 anymore."", option : ""Ten times. You can subtract 5 from 25 ten times before it's not 25 anymore."", option : ""Twenty times. You can subtract 5 from 25 twenty times before it's not 25 anymore."""
One is to three as three is to five and five is to four and four is the magic number.What is the pattern here?,"Four.The word One has 3 letters, in the word three there are 5 letters, in the word five there are four letters and four has four letters in it as well. Whatever number you'll go back to four, and that's why it's the magic number.","option : ""Three. The pattern is that each word has one less letter than the previous word.""
option : ""Five. The pattern is that each word has one more letter than the previous word.""
option : ""Six. The pattern is that each word has one less letter than the next word in the sequence."""
How many sides does a circle have?,Two - inside and outside.,"option : ""None - a circle is a 2-dimensional shape"", option : ""Infinite - a circle has an infinite number of points on its circumference"", option : ""One - a circle is a continuous curve with no distinct sides"""
"If two is a company and three is a crowd, what is 4 and 5?",9.,"option : 7, option : 11, option : 13"
"A man has 365 apples. You take away 31, how many apples do you have?",31.You took 31 apples so that's how many you have.,"option : 334, option : 365, option : 0"
A businessman buys a horse for $10 and sells it for $20. He then buys the same horse for $30 and sells it for $40.How much has the businessman earned in these 2 deals?,$20.,"option 1: $10
option 2: $30
option 3: $40"
Two people are walking towards each other on a beach. They are both completely identical. Who will be the first to greet the other?,"The more polite one, of course.","option : ""The person on the left"", option : ""The person on the right"", option : ""They will greet each other at the same time"""
Mr. Thompson has 2 children. One of them is a boy. What are the odds the second kid is also a boy?,50%,"option 1: 25%
option 2: 75%
option 3: 100%"
"If you have two twins, three triplets and four quadruplets, how many people do you have?","2 + 3 + 4 = 9 | Two twins are 2 people, three triplets are 3 people, and four quadruplets are 4 people.","option : 8, option : 10, option : 12"
"Jack had only $2, but he needed $3 for his cab fare home. He went to a pawn shop and pawned his $2 for $1.50. Jack then bumped into Don and told him that he would sell him his $2 pawn ticket for $1.50. Dan agreed. Since Jack started out with $2, and he ended up with $3, who is out the extra dollar and why?","Dan is out 1 dollar, because he'll have to pay the pawnshop owner another $1.50 before getting the $2.","option 1: Don is out 1 dollar, because he paid $1.50 for the pawn ticket but only received $2 in return.
option 2: Jack is out 1 dollar, because he only received $1.50 for pawning his $2 item.
option 3: The pawnshop owner is out 1 dollar, because they only received $1.50 for the pawned item instead of the full $2."
"If seven people meet each other and each shakes hands only once with each of the others, how many handshakes will there have been?",21.Because 6+5+4+3+2+1=21,"option : 15, option : 28, option : 10"
A new medical building containing 100 offices had just been completed. Mark was hired to paint the numbers 1 to 100 on the doors. How many times will Mark have to paint the number nine?,"20!These are the doors: 9, 19, 29, 39, 49, 59, 69, 79, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99.","option 1: 15
option 2: 10
option 3: 25"
"Take two numbers, such that the square of the first, plus the square of the second, shall equal 8; while the first, plus the product of the first and second, shall equal 6.  What are the two numbers?",2 and 2.,"option : 3 and 1, option : 4 and 0, option : 2 and 3"
"If a boy blows 18 bubbles, then pops 6 eats 7 and then he pops 5 and blows 1.How many are left?",1,"option : 0, option : 2, option : 10"
You have to blow it to play with it. What is it?,A balloon.,"option : A whistle, option : A trumpet, option : A harmonica"
"There's a body lying dead on a bed, and on the floor beside it is a pair of scissors. The scissors were instrumental in his death, yet there's no trace of blood. The body reveals no signs of any cuts or bruises. How could the person have been murdered with the pair of scissors?",The person slept on a waterbed. His killer used the scissors to cut the bed open and drown him.,"option 1: The person was killed by a poison injected into their body using the scissors.
option 2: The person was killed by electrocution using the scissors as a conductor.
option 3: The person was killed by suffocation using the scissors to block their airway."
A fireman is running to get a net under a lady who looks like she might jump off the balcony of her 20 story apartment building. There is nothing below her except a 20 story fall. The fireman is still 100 yards away when she falls and can't nearly get there in time. The woman is not hurt more than a bruise. How is that possible?,"She fell back into her apartment, jumping from the balcony into the inside.","option : ""She was wearing a parachute and landed safely.""
option : ""The fireman caught her mid-air.""
option : ""The woman fell onto a trampoline that was placed below her balcony."""
"A man goes out drinking every night, returning to his home in the wee hours of every morning. No matter how much he drinks, he never gets a hangover. This drink is very well known, but is rarely consumed, served warm and taken straight from its source. The man is a sucker for a free drink, especially since he can't live without it. What is his favorite drink?","Blood, he's a vampire!","option : Water, option : Coffee, option : Orange juice"
"There is a dead man in the middle of a field, nothing is around him and there are no footprints of any sort. There is an unopened package next to him. How did he die?",Failed Parachute,"option 1: Heart attack
option 2: Poisoning
option 3: Lightning strike"
"A pet shop owner had a parrot with a sign on its cage that said ""Parrot repeats everything it hears"". Davey bought the parrot and for two weeks he spoke to it and it didn't say a word. He returned the parrot but the shopkeeper said he never lied about the parrot. How can this be?",The parrot is deaf.,"option : ""The parrot was trained not to speak"", option : ""The parrot was scared and didn't feel comfortable speaking"", option : ""The parrot was sick and unable to speak"""
"The prisoner was locked up in a room with a dirt floor. The room has one window, which is high up above the prisoner's height. The prisoner had a shovel, but he had only 2 days to get out, and digging would take him more than 5. How would he escape?",He would use the shovel to make a pile of dirt to climb up to the window and jump out.,"option 1: The prisoner would use the shovel to dig a tunnel under the dirt floor and escape through it.
option 2: The prisoner would use the shovel to break the window and escape through the broken glass.
option 3: The prisoner would use the shovel to create a hole in the wall and escape through it."
"A Japanese boat was stuck in water because of the storm, and after the storm, the captain was found dead. The engineer was busy fixing the signals, the cook was managing the wine barrels, the wife went to the room, and the maid was fixing the upside-down turned flag. Who killed the captain?","The maid. A Japanese flag is the same from all sides, with a red dot in the center of a white background.","option : The engineer, option : The cook, option : The wife"
"A man was found dead while on his work trip abroad. The suspects were his colleagues Mason, Bob, Lisa, and Alex. On the calendar, 3, 4, 9, 10, 11 were written in blood. How should the detectives decode the numbers to find the killer?",The numbers are those of the months whose first letters spell out 'Mason'.,"option 1: The numbers represent the dates on which the victim had important meetings with each of the suspects.
option 2: The numbers correspond to the number of times each suspect had interacted with the victim on the trip.
option 3: The numbers indicate the order in which the suspects were seen leaving the crime scene by a witness."
"Dr. Miller was staying with his cousin, Alfred, in Alfred's lakeside cabin. They were setting up Alfred's will. Since Dr. Miller was Alfred's closest living relative, much of Alfred's estate was being left to him.One day, Alfred went to Dr. Miller very upset.""Doctor,"" he began, ""I have just found out that an old enemy is out to get me. He is coming very soon. Where will I go? Where can I hide? If he finds me, he will surely kill me. I do not have time to leave this cabin and hide in the woods.""Dr. Miller thought for a moment, and then grabbed a 5â€² long bamboo fishing pole, with a diameter the size of a quarter.""Alfred, follow me out to the lake. This lake is 4â€² deep. If you lie on the bottom of the lake and breathe through this pole, your enemy will never find you. I will be in the bulrushes with a shotgun, and I will shoot him when he comes. I will swim down to find you when he is gone.""Alfred thought that was a great idea and went down to the lake with the bamboo pole in his mouth.A few hours later, a ranger passed by. He found Alfred's body. Dr. Miller told the police of the circumstance, and that Alfred had probably panicked, and died.Police arrested Dr. Miller on the charge of murdering Alfred. Why?","The pole was 5â€² long, but only the size of a quarter. The first time he breathed in, he breathed oxygen. When he exhaled, the air could not travel 5â€² before he breathed in again. He was just breathing what he exhaled. Before long, all he was breathing was carbon dioxide. He died of CO2 poisoning. Dr. Miller was the one who told him to use the pole. However, he was knowledgeable about the human body and knew breathing only carbon dioxide would result in Alfred's death. His motive? The money in Alfred's will.","option : Alfred drowned in the lake, option : Alfred was attacked by a wild animal, option : Alfred had a heart attack"
"A renowned chemist is found dead in his lab. There is no clear evidence except a piece of paper lying by the body. The paper is blank other than the name of five elements scrawled across it hastily:NickelCarbonOxygenLanthanumSulfurThe guard reported that three people visited the chemist that day â€“ his sister, Laura; his colleague, Nicolas; and his wife, Tessa. The criminal was arrested immediately. Who was it?","His colleague, Nicolas. The list of the elements forms a clue, the abbreviations spell out his name.","option : Laura, option : Tessa, option : The guard"
"One winter day, there was a man standing in the middle of someone's front yard. The person stayed there for several weeks without moving and the owner of the yard didn't mind. Eventually, the man left. Who was he?",A snowman.,"option : A homeless person, option : A lost hiker, option : A statue"
"There were three men swimming in the sea. When the coastguard called them into the beach, only two of the men had wet hair. Why?",The third man was bald.,"option 1: The third man was wearing a swimming cap.
option 2: The third man had just dried his hair before coming out of the water.
option 3: The third man had a waterproof hair product on his head."
"A crime was committed in the middle of a forest, which left the police stumped. Who did it?",Probably a tree,"option : A squirrel, option : A bear, option : A hiker"
Two chickens were found dead on the farm. What does the detective suspect?,Fowl play!,"option : Natural causes, option : Animal attack, option : Accidental poisoning"
Why did a woman call the police over a man who knocked on her door and claimed that he thought the room was his?,"If it was his room, he wouldn't have knocked.","option 1: The woman called the police because she was scared of the man.
option 2: The woman called the police because she thought the man was a burglar.
option 3: The woman called the police because she believed the man was trespassing."
Why was the detective's wife furious when he arrived home at 9:30 when he said he'd arrive home at 9:30?,"Because she thought it would be 9:30 PM, and he turned up at 9:30 AM!","option : Because he arrived home late, option : Because he forgot to call her, option : Because he brought home the wrong groceries"
A killer told a detective that he would commit his next crime in the only place in Paris where you couldn't see the Eiffel Tower. How did the detective end up catching him?,The criminal was hiding in the Eiffel Tower itself.,"option 1: The detective found the killer in the Louvre Museum.
option 2: The detective discovered the killer in the Catacombs of Paris.
option 3: The detective apprehended the killer at the Notre-Dame Cathedral."
A truck driver is going down a one-way street in the wrong direction. A police car drives past him but doesn't stop him. Why?,Because he isn't driving down the street - he's walking.,"option 1: The police car didn't notice the truck driver.
option 2: The police car was on a different street.
option 3: The truck driver was not breaking any traffic laws."
"Every day, a woman was seen crossing the border carrying bags of sand on a bicycle. After some time, the border police become suspicious and stop her, but found she only had sand on her, so they let her go. Years later, they get a mysterious invitation for a party at a large villa. The owner comes out to greet them, it is the woman that has been crossing for years! How did this happen?",She was smuggling bicycles.,"option : She had a secret tunnel under the border, option : She used a teleportation device, option : She disguised the bicycles as bags of sand."
"A woman calls up the police to say that her grandmother's ring had been stolen. When they visit her house, they see broken glass on the lawn and dirty footprints. They arrest the woman. Why?","If someone had broken into the house, they would have left broken glass inside the house - the window was broken from the inside.","option 1: The woman was the only one present at the house when the police arrived.
option 2: The woman had a history of stealing valuable items.
option 3: The woman's fingerprints were found on the broken glass."
"A man entered his house and was about to hang up his coat when he heard his wife shout;""No John! Don't do it!""There was a shot and he could hear his wife fall down. When he entered the kitchen he saw his wife and the gun lying on the floor. There was a police officer, a doctor, and a lawyer standing next to her. Peter immediately knew that the police officer had shot her.But how did he come to know?",The police officer has a name on his badge.,"option : The police officer was holding the gun.
option : The police officer had a guilty expression on his face.
option : The police officer was the only one with a weapon."
"A couple went on for a climbing trip. But only the husband returned from the vacation and said that his wife slipped off while climbing and died. On investigating, the local sheriff arrested him saying, 'Your travel agent called. You murdered your wife.'The man did not inform anyone about the trip. Then how did the agent was so sure that it is a murder?",The man bought only a one-way ticket for his wife whereas he bought a two-way ticket for himself. It means that he was sure that he will be returning alone.,"option : The man had a history of violence and had previously threatened his wife's life.
option : The travel agent overheard the man discussing his plans to kill his wife.
option : The man's wife had recently taken out a large life insurance policy, making the travel agent suspicious."
"A young boy went to a Catholic school. During school, he started goofing around, so the teacher called him out and sent him to the Pastor. Since this was a traditional school the boy would be spanked, but the Pastor believed in giving people a chance.He said, ""If you can ask me a question about something you learned and I don't know the answer on the spot you will go free.""The boy may have been lazy, but he was very witty. He asked, ""What is it that you can see and I can see, usually every day, but God cannot see."" The Pastor stood there, stumped. He couldn't figure it out because he strongly believed that God sees and knows all, and that there is only one God. The boy smiled and told him.What was it?","His own equal! We see our equals everyday, but since there is one God, he cannot see someone equal to himself.","option 1: His own reflection! We see our reflections in mirrors every day, but since God is not physical, he cannot see his own reflection.
option 2: His own thoughts! We can see and know our own thoughts, but God, being all-knowing, already knows everything including his own thoughts.
option 3: His own future! We can see and plan for our own future, but God, being outside of time, already knows the future and cannot see it like we can."
Once there was an evil wizard. He took 3 women from their homes and turned them into rose bushes that looked exactly alike. He then put them in his garden.One of the women had a husband and children and begged the wizard to let her see them. He agreed. At night he brought the woman to her house. In the morning he came and took her home.The next day the husband decided to go rescue her. So he snuck into the wizard's garden. He looked and looked at the 3 identical rose bushes trying to figure out which could be his wife. Suddenly he knew the answer and he took his wife home. How did he know which rose bush was his wife?,"The wizard brought the rosebush to her home at night and returned her to the garden in the morning. Therefore, she was the only plant without dew.","option 1: The husband recognized his wife because she was the tallest rose bush.
option 2: The husband recognized his wife because she had a different scent than the other rose bushes.
option 3: The husband recognized his wife because she had a small marking on one of her petals."
"A wealthy man lives alone in a small cottage. Being partially handicapped, he had everything delivered to his cottage.The mailman was delivering a letter one Thursday when he noticed that the front door was ajar. Through the opening, he could see the man's body lying in a pool of dried blood.When a police officer arrived he surveyed the scene. On the porch were two bottles of warm milk, Monday's newspaper, a catalog, flyers, and unopened mail.The police officer suspects it was foul play. Who does he suspect and why?",The police officer suspects the newspaper delivery person. The absence of Tuesday's and Wednesday's newspaper indicates that the delivery person knew there was no one there to read it.,"option : The mailman, option : The wealthy man's neighbor, option : The catalog delivery person"
"A dead body is found at the bottom of a multistory building. Seeing the position of the body, it is evident that the person jumped from one of the floors, committing suicide.A homicide detective is called to look after the case. He goes to the first floor and walks into the room facing the direction in which the body was found.He opens the window in that direction and flips a coin towards the floor. Then he goes to the second floor and repeats the process. He keeps on doing this until he reaches the last floor. Then, when he climbs down he tells the team that it is a murder, not suicide.How did he come to know that it was a murder?","None of the windows were left open. If the person jumped, who closed the window?","option 1: The detective noticed that there were no signs of forced entry or struggle on any of the floors, indicating that someone must have let the murderer into the building.
option 2: The detective found fingerprints on the windowsill of the room where the body was found, suggesting that someone had touched the window after the person jumped.
option 3: The detective discovered a suicide note in the victim's handwriting, but upon further examination, it was determined to be a forgery. This led the detective to believe that someone had staged the scene to look like a suicide."
"Dave and Brad, two popular politicians, met at a club to discuss the overthrow of their party leader. They each ordered a vodka on the rocks. Brad downed his and ordered another. He then drank his second in a gulp and decided to wait before he ordered a third. Meanwhile, Dave, who was sipping his drink, suddenly fell forward dead. Both men were set up for assassination. Why did Dave die and Brad live?",Both Dave and Brad were given drinks with poisoned ice cubes. Brad drank his drinks so quickly that the ice didn't have time to melt and release the poison.,"option 1: Dave died because he had a pre-existing medical condition that caused him to have a sudden heart attack.
option 2: Dave died because he accidentally ingested a different poisonous substance earlier in the day.
option 3: Dave died because he had an allergic reaction to an ingredient in his drink."
"A man is found murdered on a Sunday morning. His wife calls the police, who question the wife and the staff, and are given the following alibis: the wife says she was sleeping, the butler was cleaning the closet, the gardener was picking vegetables, the maid was getting the mail, and the cook was preparing breakfast.Immediately, the police arrest the murderer. Who did it and how did the police know?",The maid. There is no mail on Sundays.,"option : The wife. She was the only one who had the opportunity to be near the victim.
option : The butler. He could have used the cleaning supplies as a weapon.
option : The gardener. He could have used a gardening tool to commit the murder."
"A man owned a casino and invited some friends.It was a dark stormy night, and they all placed their money on the table right before the lights went out.When the lights came back on, the money was gone.The owner put a rooster in an old rusty tea kettle.He told everyone to get in line and touch the kettle after he turned the lights off, and the rooster will crow when the robber touched it.After everyone touched it, the rooster didn't crow, so the man told everyone to hold out their hands.After examining all the hands, he pointed out who the robber was.How did he know who stole the money?","Because the tea kettle was rusty, whoever touched it would have rust on their hands. The robber didn't touch the kettle, therefore he was the only one whose hands weren't rusty.","option : The rooster crowed when the robber touched the kettle, option : The owner saw the robber stealing the money, option : The robber confessed to stealing the money"
"One day, the police found a man dead inside a hut. In his left hand, he's holding a gun. In his right hand, he has a recording. When the recording is played, the police hear the man talking about how horrible life is and how he wants it to end. The recording ends with a gunshot. The police are about to call it a suicide until you point out a very important clue. What is it?","The recording played a gunshot inside it. If the man committed suicide, he wouldn't have been able to stop the recording after he pulled the trigger.","option 1: The man was left-handed, so it would be impossible for him to hold the gun in his left hand and shoot himself.
option 2: The man had a history of mental illness and had previously attempted suicide, making it more likely that he took his own life.
option 3: There were no signs of forced entry or struggle in the hut, indicating that the man was alone and willingly ended his life."
What month are trees scared of?,Sep-timber.,"option : ""Oct-ober"", option : ""Nov-ember"" ,option : ""Dec-ember"""
Who walks little pumpkins across the road to school?,The crossing gourd.,"option : The pumpkin farmer, option : The scarecrow, option : The school bus driver"
What did the ocean say to the ship's captain?,"Nothing, it just waved.","option : ""Smooth sailing ahead"", option : ""I'm ready to set sail"", option : ""Prepare for a storm"""
What does a tree do when it gets homesick?,It leaves.,"option : It cries, option : It grows taller, option : It calls its friends"
When do the leaves begin to turn?,The night before a test.,"option : The first day of spring, option : The first day of summer, option : The first day of winter"
"I produce moisture and oxygen into the air.When it gets cold, I change colors.When it freezes, I fall down, even if it's not slippery.What am I?",A leaf.,"option : A cloud, option : A flower, option : A waterfall"
How can you tell a dogwood tree apart from other trees?,By its bark.,"option : By its leaves, option : By its height, option : By its flowers"
"I make ash, but I'm not a bonfire.I can expel rocks, but I'm not a slingshot.I can be a mountain, but I'm not in the Himalayas.I have a crater, but I'm not the Moon.I erupt, but I don't have a bad temper.What am I?",A volcano.,"option : A campfire, option : A catapult, option : Mount Everest"
"If fruit comes from a fruit tree, where does chicken come from?",A poul-tree.,"option : A cow-tree, option : A fish-tree, option : A vegetable-tree"
Bright pearls were scattered on a black cloth.What are they?,The sky and the stars.,"option : Diamonds, option : Grapes, option : Snowflakes"
"We're very large though we seem small,We float on high and never fall,We shine like jewels in the night,But in the day concealed from sight.What are we?",Stars.,"option : Moons, option : Planets, option : Clouds"
I saw a restless shepherd travelingBack and forth on his path.He garbs himself in that which goesIn the same and in an opposite direction.He goes hither and thither among creatures.What is it?,The sun.,"option : The moon, option : The wind, option : A river"
"Two little golden horns sitting on a cloud, They float slowly in the sky,And look very proud.What is it?",A young moon.,"option : A pair of sunglasses, option : A hot air balloon, option : A unicorn"
"Hick-a-more, Hack-a-more, On the kitchen floor;All the horses, all the men,Couldn't driveHick-a-more, Hack-a-more,Off the kitchen floor.",Sunshine.,"option : Moonlight, option : Raindrop, option : Starlight"
What falls on the water but never gets wet?,A shadow.,"option : A raindrop, option : A leaf, option : A feather"
"What has no hands, no feet, no head, and no body, but can open any door?",The wind.,"option : A key, option : A lock, option : A doorknob"
"When rain falls, does it ever get up again?","Yes, in dew time.","option : ""No, rain never gets up again."", option : ""Yes, rain evaporates and becomes part of the water cycle."", option : ""No, rain gets absorbed by the ground."""
"White sheep on a blue hill.When the winds stop, they stand still.They walk far away when the winds blow.What are they?",The clouds.,"option : The trees, option : The birds, option : The mountains"
"I gently patter on the roof at night. I mutter quietly and lull you to sleep, asking, ""All sleeping? All right!""What am I?",Rain.,"option : Wind, option : Thunder, option : Whisper"
What man cannot live inside the house?,A snowman.,"option : A ghost, option : A fish, option : A tree"
"An old woman sweeps behind the house, but the dust turns up at your doorstep.What is it?",A blizzard.,"option : A broom, option : A vacuum cleaner, option : A gust of wind"
"Riddle me, riddle me, rin-Ðµ-go, mother gave me some seeds to sow. The seeds were black, the ground was white. If you riddle me that, you'll escape my bite.What are they?",Pen and paper.,"option : Pencil and notebook, option : Typewriter and parchment, option : Keyboard and screen"
"It is energy and motion, it can fly across the ocean.It can listen and even speak, it can see and even seek.It eats neither fruit nor gruel, it eats energy and fuel.Better say: It doesn't eat; It is transformed into heat.What is it?",Electricity.,"option : Lightning, option : Power, option : Current"
"The shape of my form will waver and bendBy the things I'm destroying and those I will rend.My color changes from bright red to blue,The power I'm using will dictate my hue.What am I?",A flame.,"option : A candle, option : A torch, option : A bonfire"
"A house full, a hole full, but you can never gather a bowl full.What is it?",Smoke or fog.,"option : Water, option : Sand, option : Air"
"I'm so weak that a little wind can move me.I'm so strong that when you cut me with a knife, it leaves no track.What is it?",Water.,"option : Air, option : Feather, option : Cloud"
"What is it that anyone can divide, but no one can see where it is divided?",Water.,"option : Air, option : Time, option : Light"
"As I was going o'er London Bridge, I heard something crack. Not a man in all England can mend that!What is it?",Ice.,"option : Glass, option : Mirror, option : Bone"
"My step is slow, and I breathe snow.To the ground, I bring death.My marching brings an end to me,I'm slain by the sun or engulfed by the sea.What am I?",A glacier.,"option : Avalanche, option : Iceberg, option : Frostbite"
"I am all that you see, yet I'm nothing at all, and from you, I will flee.Formed of deception, I will twist your perception.Wherever I'm rising, I warp the horizon.What am I?",A mirage.,"option : A hallucination, option : An illusion, option : A phantasm"
"If you like being in nature and want to camp overnight, you can sleep in one of these.What is it?",A tent.,"option : Sleeping bag, option : Hammock, option : Cabin"
"There is a common plantThat's like something in the sky.It is bright yellow,And grows to be 10 feet high.What is it?",A sunflower.,"option : A dandelion, option : A marigold, option : A daisy"
"I bloom in yellow-golden,With fluffy little chicks.From the cold, I turn barren.What am I?",Mimosa.,"option : Daffodil, option : Sunflower, option : Tulip"
"Colorful flowersBloomed in the garden,Beautiful colorsBut autumn is coming.What flowers are they?",Astra.,"option : Rose, option : Tulip, option : Sunflower"
What tree grieves the most?,The weeping willow.,"option : The sad oak, option : The mourning maple, option : The sorrowful pine"
What animal can jump higher than a tree?,All of them! Trees can't jump.,"option : Giraffe, option : Kangaroo, option : Squirrel"
"A house with two residents - sometimes one, seldom three.Crack the walls, eat the dwellers, then throw it away.What is it?",A pod with peanuts.,"option : A shell with pistachios, option : A bag with almonds, option : A box with cashews"
I have lots of bark but no bite. What am I?,A tree.,"option : A dog, option : A fence, option : A squirrel"
"I am a plant you use in food, and my name consists of 5 letters.Remove the first letter of my name, and you'll get a form of energy.Get rid of two, and you'll get something necessary for life.Scramble together the last 3 letters, and you can drink it.What am I?",Wheat.,"option : Rice, option : Corn, option : Barley"
"I am a small seed, and there are three letters in my name.Take away two letters, and I still sound the same.What am I?",A pea.,"option : A bee, option : A key, option : A tea"
"The moon is my mother, The sea is my dad.I have a million brothers.When I reach land, I'm dead.What am I?",A wave.,"option : A cloud, option : A fish, option : A seagull"
"There's a bridge in a hollowAnd a hundred cross itNo mason, no blacksmith, nor carpenter built it.What is it?",A frozen river.,"option : A stone path, option : A rope bridge, option : A wooden plank"
"You will find me in the mountains, and you'll find me in a creek.I have no mouth, but I speak every tongue.I have no ears, yet I answer every cry, and I always have the final word.What am I?",An echo.,"option : A waterfall, option : A cave, option : A wind"
We are the pearls of night stolen in the light of day.What are we?,Dewdrops.,"option : Moonbeams, option : Starlight, option : Sunrays"
"I can run but never walk,Have a mouth but never talk,Have a head but never weep,Have a bed but never sleep.What am I?",A river.,"option : A road, option : A tree, option : A cloud"
"A thousand colored folds stretch toward the sky,Atop a tender strand,Rising from the land,'Til killed by maiden's hand.Perhaps, as a token of love.Perhaps, to say goodbye.What is it?",A flower.,"option : A tree, option : A bird, option : A cloud"
"My love, when I gaze on thy beautiful face,Careering along, yet always in place -The thought has often come into my mindIf I ever shall see thy glorious behind.",The moon.,"option : The sun, option : The stars, option : The ocean"
"Walks in the wind but stands where there's moist,Counts time, stops clocks,Swallows kingdoms, gnaws rocks.What is it?",Sand.,"option : Dust, option : Pebble, option : Gravel"
"What has roots that nobody sees,Is taller than trees,Up, up it goes,And yet never grows?",A mountain.,"option : A skyscraper, option : A flagpole, option : A hot air balloon"
What falls but never breaks?,Dusk.,"option : Rain, option : Feather ,option : Shadow"
"What is thick but thin as a puff,What is short but tall as a bluff,What brings peace and calms the sea,What dazzles the eyes of you and me?",A rainbow.,"option : A cloud, option : A mirror, option : A waterfall"
"I'm gentle enough to soothe your skin,Light enough to fly through the sky,Strong enough to crack rocks.What am I?",Water.,"option : Air, option : Feather, option : Hammer"
"I can fly but have no wings,I can cry but have no eyes,Wherever I go, darkness follows me.What am I?",A cloud.,"option : A bird, option : A tear, option : A shadow"
What month are trees scared of?,Sep-timber.,"option : ""Oct-ober"", option : ""Nov-ember"" ,option : ""Dec-ember"""
Who walks little pumpkins across the road to school?,The crossing gourd.,"option : The pumpkin farmer, option : The scarecrow, option : The school bus driver"
What did the ocean say to the ship's captain?,"Nothing, it just waved.","option : ""Smooth sailing ahead"", option : ""I'm feeling a bit salty today"", option : ""You're in deep water now"""
What does a tree do when it gets homesick?,It leaves.,"option : It cries, option : It grows taller, option : It calls its friends"
When do the leaves begin to turn?,The night before a test.,"option : The first day of spring, option : The first day of summer, option : The first day of winter"
"I produce moisture and oxygen into the air.When it gets cold, I change colors.When it freezes, I fall down, even if it's not slippery.What am I?",A leaf.,"option : A cloud, option : A flower, option : A waterfall"
How can you tell a dogwood tree apart from other trees?,By its bark.,"option : By its leaves, option : By its height, option : By its flowers"
"I make ash, but I'm not a bonfire.I can expel rocks, but I'm not a slingshot.I can be a mountain, but I'm not in the Himalayas.I have a crater, but I'm not the Moon.I erupt, but I don't have a bad temper.What am I?",A volcano.,"option : A campfire, option : A catapult, option : Mount Everest"
"If fruit comes from a fruit tree, where does chicken come from?",A poul-tree.,"option : A cow-tree, option : A fish-tree, option : A vegetable-tree"
Bright pearls were scattered on a black cloth.What are they?,The sky and the stars.,"option : Diamonds, option : Grapes, option : Snowflakes"
"We're very large though we seem small,We float on high and never fall,We shine like jewels in the night,But in the day concealed from sight.What are we?",Stars.,"option : Moons, option : Planets, option : Clouds"
I saw a restless shepherd travelingBack and forth on his path.He garbs himself in that which goesIn the same and in an opposite direction.He goes hither and thither among creatures.What is it?,The sun.,"option : The moon, option : The wind, option : A river"
"Two little golden horns sitting on a cloud, They float slowly in the sky,And look very proud.What is it?",A young moon.,"option : A pair of sunglasses, option : A hot air balloon, option : A unicorn"
