,question,choice_list,choice_order
371,"If you have two coins which total 35 cents and one of the coins is not a dime, what are the two coins?","['A penny and a quarter (One is not a dime, but the other one is)', 'A nickel and a quarter (One is not a dime, but the other one is)', 'A dime and a quarter.(One is not a dime, but the other one is)', 'A nickel and a dime (One is not a dime, but the other one is)']",[2]
372,When my father was 31 I was 8. Now he is twice as old as me. How old am I?,"['distractor3', '23.The difference in age is 23 years, so I must be 23 if my father is twice as old as me.', 'distractor2', 'distractor1']",[1]
373,"I am always hungry and will die if not fed, but whatever I touch will soon turn red. What am I?","['Water', 'Earth', 'Wind', 'Fire.']",[3]
374,"People make me, save me, change me, raise me. What am I?","['Love', 'Time', 'Money.', 'Dreams']",[2]
375,"I turn once, what is out will not get in. I turn again, what is in will not get out. What am I?","['A padlock', 'A lock', 'A door', 'A key.']",[3]
376,"The more you take, the more you leave behind. What are they?","['Memories', 'Time', 'Shadows', 'Footsteps.']",[3]
377,"Two fathers and two sons are in a car, yet there are only three people in the car. How?","['They are a stepfather, father, and son.', 'They are a grandfather, father and son.', 'They are a father, son, and nephew.', 'They are a grandfather, father, and grandson.']",[1]
378,I am an odd number. Take away a letter and I become even. What number am I?,"['Three', 'Six', 'Nine', 'Seven']",[3]
379,What has four wheels and flies?,"['A garbage truck', '""A car"" ', '""A skateboard""', '""A bicycle""']",[0]
380,"What has 13 hearts, but no other organs?","['A box of chocolates', ""A Valentine's Day card"", 'A deck of cards.', 'A bouquet of roses']",[2]
381,What is always in front of you but can't be seen?,"['The present', 'The past', 'The sky', 'The future.']",[3]
382,"I start with T, end with T, and have T in me. What am I?","['A Tea pot', 'A Tablet', 'A T-shirt', 'A Tornado']",[0]
383,"Complete the sentence:If Tom's father is Tony, then Tony is the _____ of Tom's father.","['""Cousin"" ', 'Name.', '""Brother""', '""Uncle""']",[1]
384,I am a part of your body. You can hold me in your left hand but not in your right hand. What am I?,"['Your nose', 'Your right knee', 'Your left elbow', 'Your right elbow.']",[3]
385,Our product and our sum always give the same answer. Who are we?,"['10', '1', '1,2,31 + 2 + 3 = 61 * 2 * 3 = 6', '4']",[2]
386,Michael was 13 years old in 1980 and 8 years old in 1985. How is it possible?,"['""Michael is a vampire""', 'The dates are in BC.', '""Michael has a Benjamin Button-like condition""', '""Michael has a time machine""']",[1]
387,What did the little lobster get on its math test?,"['Sea-minus', 'Shell-minus', 'Ocean-minus', 'Sea-plus.']",[3]
388,What month do all soldiers hate?,"['July', 'January', 'November', 'March.']",[3]
389,"A man has 365 apples. You take away 31, how many apples do you have?","['365', '334', ""31.You took 31 apples so that's how many you have."", '0']",[2]
390,"They are dark and on the run, and without sun there will be none.What are they?","['Nightmares', 'Darkness', 'Ghosts', 'Shadows.']",[3]
391,"If I have it, I don't share it. If I share it, I don't have it.What is it?","['A mystery', 'A secret.', 'A lie', 'A rumor']",[1]
392,I'm tall when I'm young and short when I'm old.What am I?,"['A skyscraper', 'A tree', 'A candle.', 'A giraffe']",[2]
393,"If you drop me I'm sure to crack, but give me a smile and I'll always smile back.What am I?","['A window', 'A glass', 'An egg', 'A mirror.']",[3]
394,You answer me but I ask you nothing. What am I?,"['A phone.', 'A book', 'A mirror', 'A clock']",[0]
395,"What flies when it's born, lies when it's alive, and runs when it's dead?","['A bird', 'A kite', 'A butterfly', 'A snow flake.']",[3]
396,"Give me food, and I will live. Give me water, and I will die. What am I?","['Air', 'Rock', 'Plant', 'Fire.']",[3]
397,"What word begins and ends with an E, but has only one letter?","['Elephant', 'Envelope.', 'Easel', 'Earring']",[1]
398,What gets whiter the dirtier it gets?,"['A snowball', 'A chalkboard.', 'A bar of soap', 'A white shirt']",[1]
399,I have 4 legs but I can't walk. What am I?,"['A stool', 'A chair', 'A desk', 'A table.']",[3]
400,"I always follow my brother, though very different we are. You can see him but not me, you can hear me, but not him.","['Thunder.', 'Rain', 'Lightning', 'Wind']",[0]
401,"People need me, but they always give me away. What am I?","['Money.', 'Love', 'Time', 'Happiness']",[0]
402,What type of dress can never be worn?,"['A wedding dress', 'A ball gown', 'An address.', 'A prom dress']",[2]
403,What brings you down but never up?,"['Magnetism', 'Friction', 'Weight', 'Gravity.']",[3]
404,"You use me from your head to your toes. The more I work, the thinner I grow. What am I?","['A bottle of shampoo', 'A pair of shoes', 'A pencil', 'A bar of soap.']",[3]
405,"A man pushes his car, stops in front of a hotel, and immediately goes bankrupt. What is he doing?","['He was gambling', 'He was investing in stocks', 'He was robbed', 'He was playing monopoly.']",[3]
406,"If you cut me, I won't cry - but YOU will.What am I?","['A tomato', 'A lemon', 'A potato', 'An onion.']",[3]
407,"What can you catch, but not throw?","['A ball', 'A frisbee', 'A fish', 'A cold.']",[3]
408,What tastes better than it smells?,"['A sense of taste', 'A tongue.', 'A mouth', 'A nose']",[1]
409,Who makes moves while being seated?,"['A dancer', 'A pianist', 'A chess player.', 'A driver']",[2]
410,I'm not alive but I have five fingers. What Am I?,"['A rock', 'A hand', 'A glove.', 'A tree']",[2]
411,"A magician is standing on a concrete floor holding a raw egg with his hand outstretched.Without the aid of any other objects, he is able to drop the egg 2 feet without breaking its shell.How did he do it?","['He used a special type of egg that is unbreakable when dropped from a height of 2 feet.', 'He dropped it from further than 2 feet, it fell the first 2 feet without breaking, before it broke on the floor.', 'He used a magic spell to create a force field around the egg, protecting it from breaking when dropped.', 'He dropped the egg onto a cushioned surface, preventing it from breaking when it fell the first 2 feet.']",[1]
412,A businessman buys a horse for $10 and sells it for $20. He then buys the same horse for $30 and sells it for $40.How much has the businessman earned in these 2 deals?,"['$10', '$20.', '$40', '$30']",[1]
413,"Stacy's mother had 4 children: The first was April, the second was May, and the third was June.What was the name of the 4th child?","['June', 'May', 'Stacy.', 'April']",[2]
414,"How could the 22nd and 24th presidents of the United States have the same parents, but weren't brothers?","['They were cousins, but referred to each other as brothers.', 'It was the same person, Grover Cleveland, who was elected twice, not in a row.', 'They were half-brothers, sharing only one parent.', 'They were twins, but one was adopted by another family.']",[1]
415,RAILROAD CROSSING.WATCH OUT FOR THE CARS!Can you spell that without any 'R's?,"['""T-H-A-T""', '""W-A-T-C-H""', '""C-A-R-S""', 'T-H-A-T.']",[3]
416,Mr. Thompson has 2 children. One of them is a boy. What are the odds the second kid is also a boy?,"['50%', '100%', '25%', '75%']",[0]
417,"A man is pushed out of an airplane, without a parachute. How was he able to survive?","['""He was caught by a passing helicopter.""', '""He used a makeshift parachute made from his clothing.""', '""He landed in a body of water.""', 'The airplane was on the runway.']",[3]
418,"A woman from New York married ten different men from that city, yet she did not break any laws. None of these men died, and she never divorced. How was this possible?","['The lady was a Justice of the Peace and married other people.', 'The lady was an actress and married different men as part of her roles in various plays.', 'The lady was a professional matchmaker and arranged marriages for other people.', 'The lady was a wedding planner and officiated the marriages of ten different couples in New York.']",[0]
419,The barber of Seville shaves all men living in Seville.No man living in Seville is allowed to shave himself.The barber lives in Seville.Who then shaves the barber of Seville?,"['he barber of Seville shaves herself', 'he barber of Seville has a robot that shaves her', 'he barber of Seville goes to a different city to get shaved', 'No one - the barber of Seville is a woman.']",[3]
420,"I turn around once, what is out will not get in.I turn around again,what is in will not get out.What Am I?","['A key.', 'A wall', 'A lock', 'A door']",[0]
421,If you see a knight jumping over another knight - what are you watching?,"['A circus performance', 'A dance routine', 'A magic show', 'A game of Chess.']",[3]
422,"He hated the Eiffel tower, so every day in Paris he ate on the first floor of the tower. Why did he do that?","[""It was the only place he couldn't see the Eiffel tower from."", '""He wanted to avoid the long lines on the higher floors.""', '""He enjoyed the food on the first floor more than the other floors.""', '""He preferred the view from the first floor.""']",[0]
423,"I can shave every day, but my beard will stay the same. What am I?","['A hairdresser', 'A razor', 'A mirror', 'A barber.']",[3]
424,"Brothers and sisters I have none, but this man's father is my father's son. Who is the man?","['""His brother""', '""His cousin""', 'My son.', '""His nephew""']",[2]
425,I can travel around the world while staying in a corner.What Am I?,"['A stamp.', 'A map', 'A book', 'A postcard']",[0]
426,A new medical building containing 100 offices had just been completed. Mark was hired to paint the numbers 1 to 100 on the doors. How many times will Mark have to paint the number nine?,"['25', '10', '20!These are the doors: 9, 19, 29, 39, 49, 59, 69, 79, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99.', '15']",[2]
427,"Take two numbers, such that the square of the first, plus the square of the second, shall equal 8; while the first, plus the product of the first and second, shall equal 6.  What are the two numbers?","['4 and 0', '2 and 3', '2 and 2.', '3 and 1']",[2]
428,"If I miss, I hit your bush. It's my job to stuff your box. When I come, it's news. What am I?","['A newspaper delivery person.', 'A pizza delivery person', 'A mail carrier', 'A garbage collector']",[0]
429,What is super hard and goes into a tiny hole?,"['A rock', 'A hammer', 'A key.', 'A brick']",[2]
430,What's long and hard and has the word 'cum' in it?,"['A curriculum', 'A column', 'A cucumber.', 'A cumulus']",[2]
431,"What is six inches long, sweet on the lips, and goes down better with butter?","['Carrot', 'Corn on the cob.', 'Ice cream', 'Banana']",[1]
432,I'm spread out before being eaten. Your tongue gets me off. Sometimes people lick my nuts. What am I?,"['Peanut butter.', 'Almond butter', 'Cashew butter', 'Hazelnut butter']",[0]
433,"A house with two residents - sometimes one, seldom three.Crack the walls, eat the dwellers, then throw it away.What is it?","['A pod with peanuts.', 'A nutcracker', 'A termite infestation', 'A demolition crew']",[0]
434,"I come in a box and melt in your hands, I'm a Valentine's day gift that's widely loved.What Am I?","['Jewelry', 'Flowers', 'Teddy bear', 'Chocolate.']",[3]
435,What did the walnut say as he was proposing to the almond?,"['""I\'m going nuts over you.""', '""You\'re the nut for me.""', '""I am nuts about you.""', '""You drive me nutty.""']",[2]
436,How did the pickle confess his love to his valentine?,"['""He said', '""He said', 'He said, ""you mean a great dill to me.""', '""He said']",[2]
437,What did the chocolate sauce confess to the ice cream?,"['""I\'m nuts about you.""', ""I'm sweet on you."", '""I\'m melting for you.""', '""I\'m cold-hearted.""']",[1]
438,"Artichokes are considered to be the most loving vegetable, but why?","['""They are shaped like hearts.""', 'They have hearts.', '""They are red.""', '""They are often given as gifts on Valentine\'s Day.""']",[1]
439,Why should you never fall in love with a pastry chef?,"['They may dessert you.', '""They might bake your heart and break it.""', '""They could sweet talk you into a sugar-coated relationship.""', '""They may whisk you away but leave you feeling empty inside.""']",[0]
440,Why did the girl fall in love with the French chef?,"['""He whisked her away!""', '""He served up romance!""', '""He sautéed her heart!""', 'He buttered her up!']",[3]
441,What do you call a cow sucked up by a tornado?,"['A tornado steak', 'A milkshake.', 'A twister burger', 'A cyclone smoothie']",[1]
442,"I often join you at parties and holidays, but I never get to enjoy them.What am I?","['A piñata', 'A present', 'A turkey.', 'A balloon']",[2]
443,What do bowlers order when they go to a restaurant?,"['Pin pasta', 'Gutter chicken', 'Spare ribs.', 'Strike steak']",[2]
444,What sport can also be eaten?,"['Golf', 'Basketball', 'Tennis', 'Squash']",[3]
445,What would you get if you stacked up thousands of pizzas?,"['""A pizza mountain""', '""A pizza skyscraper""', 'The leaning tower of pizzas!', '""A pizza pyramid""']",[2]
446,What kind of pig knows martial arts?,"['Karate Ham', 'Ninja Bacon', 'A Pork Chop', 'Kung Fu Sausage']",[2]
447,The more he has the less he weighs. What is it?,"['Cloud ', 'Feather', 'Balloon', 'Cheese with holes.']",[3]
448,If you buy a big one of theseThen you surely will not starveFor what's inside can feed manyAnd they're also good to carve.What is it that you're buying?,"['A pineapple', 'A watermelon', 'A pumpkin', 'A coconut']",[2]
449,What do snowmen eat for breakfast?,"['Snowflakes.', 'Frosty flakes', 'Ice cream', 'Snow cones']",[0]
450,"Breakfast or dinner, I always taste great,I come from an animal that never stays up late. Who am I?","['Milk', 'Egg', 'Bacon', 'Cereal']",[1]
451,"Two sisters we are, one is dark and one is fair,In twin towers dwelling we're quite the pair,One from land and one from the sea,Tell us truly, who are we?","['Sugar', 'Salt and pepper.', 'Cinnamon', 'Paprika']",[1]
452,"I usually go with a special beef, I'm a green vegetable, like a leaf. I'm a yummy addition to your St. Patrick's Day dinner. If you eat me a lot, you might even get slimmer. What am I?","['Broccoli', 'Cabbage', 'Spinach', 'Kale']",[1]
453,Why do Chinese men eat more rice than Japanese men do?,"['""Because Chinese cuisine relies heavily on rice.""', 'Because there are more Chinese men than Japanese men.', '""Because rice is a staple food in Chinese culture.""', '""Because Chinese men have a higher rice consumption rate.""']",[1]
454,I am a food that stays hot even when put in the refrigerator! What am I?,"['Pepper.', 'Pizza', 'Soup', 'Coffee']",[0]
455,When does a British Potato change its nationality?,"['When it becomes French fires.', 'When it becomes a Russian vodka', 'When it goes on vacation to Ireland', 'When it joins a German sausage']",[0]
456,What does a duck like to eat with soup?,"['Bread', 'Quackers!', 'Rice', 'Salad']",[1]
457,This fruit is made of two words conjoinedThe first part of it is also a treeThe second part is a different fruitAnd goes on a pizza from HawaiiWhat is it?,"['A mango', 'A pineapple', 'A watermelon', 'A coconut']",[1]
458,What kind of beans don't grow in the garden?,"['Kidney beans', 'Green beans', 'Jelly beans', 'Lima beans']",[2]
459,How much did the butcher charge for his venison?,"['""Five bucks""', 'A buck.', '""Two bucks""', '""Ten bucks""']",[1]
460,What is a Cheerleader's favorite food?,"['Pizza', 'Popcorn', 'Ice cream', 'Cheerios.']",[3]
461,I can be chewed but should not be swallowed or eaten and always get thrown away. What am I?,"['Toothpaste', 'Gum', 'Bubble wrap', 'Candy']",[1]
462,I am a pal of the peanut and I love to sing along and play music. Who am I?,"['Bread', 'Jelly', 'Jam', 'Butter']",[2]
463,"When the waiter handed him the check at the end of the meal, what did the duck say?","['I already have a bill.', '""I don\'t have any money.""', '""Can I pay with a credit card?""', '""I\'ll pay next time.""']",[0]
464,I am the favorite fruit of computer nerds. Who am I?,"['Banana', 'Orange', 'Raspberry', 'Apple']",[3]
465,What kind of bread do elves and dwarfs like to eat?,"['Baguette', 'Whole wheat bread', 'Rye bread', 'Shortbread']",[3]
466,What did the turkey say to the ham?,"['""Feeling a bit poultry?""', 'Nice to meat you.', '""I\'m stuffed!""', '""Gobble gobble!""']",[1]
467,I am the meanest of all foods and it takes all the might of your teeth to tear me apart. What am I?,"['Peanut butter', 'Popcorn', 'Jerky', 'Celery']",[2]
468,"I am a container without hinges, a lock, or a key, yet a golden treasure lies inside me. What am I?","['A chest', 'A safe', 'An Egg', 'A vault']",[2]
469,"Hot or cold, running or still, hard or soft, I can be anything. What am I?","['Fire', 'Air', 'Earth', 'Water']",[3]
470,Why was the jelly so stressed out?,"['""It had too many flavors.""', '""It was stuck in a jar.""', '""It couldn\'t find its peanut butter.""', 'It was spread too thin.']",[3]
471,"What vegetable always fails in every competition, yet is a fantastic rapper?","['Celery', 'Beets', 'Carrots', 'Potatoes']",[1]
472,What vegetable can be used to tie your shoelace?,"['Cucumber', 'Carrot', 'A string bean', 'Onion']",[2]
473,How do mummies like their food?,"['""Salads""', '""Sandwiches""', 'Wraps', '""Soup""']",[2]
474,"I am clean, but not water.I am white, but not snow.I am sweet, but not ice cream.What am I?","['Sugar', 'Salt', 'Flour', 'Milk']",[0]
475,Why did the cranberries turn red?,"['""Because they were embarrassed!""', '""Because they were ripe!""', '""Because they were angry!""', 'Because they saw the turkey dressing!']",[3]
476,What did the grouchy baker make?,"['Crab cakes', 'Cupcakes', 'Bread', 'Donuts']",[0]
477,I am called the most romantic fruit on the planet. What am I?,"['Cherry', 'Strawberry', 'Passionfruit', 'Honeydew']",[3]
478,"Two mothers and two daughters went out to eat. Each one of them had one burger, yet only three burgers were eaten. How is this possible?","['A great-grandmother, a grandmother, and a daughter went out to eat.', 'Two sisters and a niece went out to eat.', 'A grandmother, a mother, and a granddaughter went out to eat.', 'There was a grandmother, a mother, and a daughter.']",[3]
479,What is the tastiest kind of money?,"['Credit card', 'Coin ', 'Cash', 'Dough-nut']",[3]
480,What fruit gets drunk the most?,"['Fruit cocktail.', 'Watermelon', 'Banana', 'Pineapple']",[0]
481,What is Santa Claus' favorite sandwich?,"['""Reindeer Meat and Snowflakes""', 'Peanut Butter and Jolly!', '""Egg and Mistletoe""', '""Candy Cane and Pickles""']",[1]
482,What did the doctor prescribe to the sick lemon?,"['Sour-soothe', 'Lemon-drop', 'Lemon-aid', 'Citrus-cure']",[2]
483,What vegetable is the king of rock and roll?,"['King Carrot', 'Elvis Parsley', 'Elvis Lettuce', 'Rock and Roll Cabbage']",[1]
484,What fruit is always sad?,"['A grapefruit', 'A watermelon', 'A lemon', 'A blueberry']",[3]
485,I am a beer yet kids can drink me and never get drunk. What am I?,"['Root beer', 'Cream soda', 'Soda', 'Ginger ale']",[0]
486,"I am a food that explodes. But long before I explode, I am already dead. I can be small, I can be big, and I can be fragrant. What am I?","['Grenade', 'Fireworks', 'Dynamite', 'Popcorn']",[3]
487,What's the meal you can never eat for breakfast?,"['""Brunch""', 'Lunch and Dinner', '""Supper""', '""Snack""']",[1]
488,Do you know a fruit that is friendly and enjoys meeting new people?,"['A Pineapple', 'A Watermelon', 'A Banana', 'A Date']",[3]
489,What kind of food does the baby chicken make when it goes to the bathroom?,"['Chickpeas', 'Feather fries', 'Chicken nuggets', 'Eggplants']",[0]
490,What vegetable is the most fun to be around and the one that everybody wants to hang out with?,"['Broccoli', 'Tomato', 'Fungi', 'Carrot']",[2]
491,What is more rewarding when it is hard and long?,"['""A marathon""', 'An education.', '""A career""', '""A puzzle""']",[1]
492,What do you call an unsinkable virgin?,"['A steadfast chaste', 'A buoyant maiden', 'A resilient pure', 'A cherry float.']",[3]
493,"I am long, you move me around with your lips and tongue, I get wet with saliva and I get sucked. What am I?","['A toothbrush', 'A pen', 'A straw.', 'A spoon']",[2]
494,"If I miss, I hit your bush. It's my job to stuff your box. When I come, it's news. What am I?","['A pizza delivery person', 'A garbage collector', 'A newspaper delivery person.', 'A mail carrier']",[2]
495,I work with briefs and I'm amazing when using my mouth. What am I?,"['A chef', 'A lawyer.', 'A singer', 'A dentist']",[1]
496,Why is a happy sex life like a good steak?,"[""Because it's rare!"", ""Because it's juicy!"", ""Because it's well-done!"", ""Because it's satisfying!""]",[0]
497,Set me to vibrate when you want some alone time. What am I?,"['A wristwatch', 'A toaster', 'A cell phone.', 'A blender']",[2]
498,"I once let over 1000 different people inside me, until I was ripped open by something long and hard. What am I?","['The Great Wall of China', 'The Titanic.', 'The Eiffel Tower', 'The Statue of Liberty']",[1]
499,I absolutely love holding your buns all day. What am I?,"['A pillow', 'A sandwich', 'A hair tie.', 'A baseball glove']",[2]
500,I drip when you take me in the mouth. What am I?,"['Milkshake', 'Ice-cream.', 'Slushie', 'Popsicle']",[1]
501,What gets wetter when things get steamy?,"['Raincoats', 'Steamboats.', 'Umbrellas', 'Showers']",[1]
502,"Every man has me. I'm a word that begins with the letter ""P"" and for me to grow, I need stimulation. What am I?","['The power of love', 'The petals of a flower', 'The passion of a dream', 'The pupils of his eye.']",[3]
503,"You use your hand to whack me off, the bigger I am, the louder I make people scream. What am I?","['A spider.', 'A thunderstorm', 'A snake', 'A lion']",[0]
504,"I am a five letters word starting with ""P"". Women really love to get their hands on me. What am I?","['Clutch', 'Handbag', 'Purse.', 'Wallet']",[2]
505,"I am dirty, I love being filled with wood, but someone only goes down on me once a year. What am I?","['A grill', 'A bonfire', 'A chimney', 'A fireplace.']",[3]
506,"Some people prefer being on top, others prefer being on the bottom, and it always involves a bed. What is it?","['A sleeping bag', 'A hammock', 'A futon', 'A bunk bed.']",[3]
507,What does a man have in his trousers that a lady doesn't want on her face?,"['Acne', 'Beard', 'Wrinkles.', 'Mustache']",[2]
508,What do men keep in their pants that their partners sometimes blow?,"['Phone', 'Wallet', 'Keys', 'Money.']",[3]
509,I have a stiff shaft. My tip penetrates. I come with a quiver. What am I?,"['An arrow.', 'A knitting needle', 'A screwdriver', 'A pencil']",[0]
510,What's long and hard and has the word 'cum' in it?,"['A column', 'A cucumber.', 'A cumulus', 'A curriculum']",[1]
511,"What is six inches long, sweet on the lips, and goes down better with butter?","['Banana', 'Ice cream cone', 'Corn on the cob.', 'Carrot']",[2]
512,What do you insert in a small hole and twist all the way around?,"['A screwdriver', 'A pencil', 'A key', 'A Q-tip.']",[3]
513,You can't taste it unless you undress it. What is it?,"['A cucumber', 'A banana.', 'A pineapple', 'A watermelon']",[1]
514,You play with it at night and it vibrates. What is it?,"['A toothbrush', 'A guitar', 'A flashlight', 'A cell phone.']",[3]
515,"What's at least six inches long, goes in your mouth, and is more fun when it vibrates?","['An electric toothbrush.', 'A pencil', 'A spoon', 'A lollipop']",[0]
516,What's long and hard when it's young and soft and small when it's old?,"['A tree', 'A candle.', 'A snake', 'A pencil']",[1]
517,What does a woman have two of that a cow has four of?,"['Ears', 'Arms', 'Legs.', 'Eyes']",[2]
518,"What's white, sticky, and better to spit than to swallow?","['Yogurt', 'Toothpaste.', 'Marshmallow', 'Glue']",[1]
519,"What's made of rubber, handed out at some schools, and exists to prevent mistakes?","['Erasers.', 'Pencils', 'Whiteout', 'Chalk']",[0]
520,I'm great for protection. You use your fingers to get me off. What am I?,"['Hat', 'Sunglasses', 'Socks', 'Gloves.']",[3]
521,"What gets longer if pulled, fits snugly between breasts, slides neatly into a hole, chokes people when used incorrectly, and works well when jerked?","['A scarf', 'A necklace', 'A shoelace', 'A seatbelt.']",[3]
522,"I assist with erections. Sometimes, giant balls hang from me. I'm known as a big swinger. What am I?","['A flagpole', 'A trapeze artist', 'A crane.', 'A construction worker']",[2]
523,"When I go in, I can cause some pain. I'll fill your holes when you ask me to. I also ask that you spit and not swallow. What am I?","['Floss', 'Toothpaste', 'Your dentist.', 'Mouthwash']",[2]
524,"I start with a ""p"" and end with ""o-r-n."" I'm a major player in the film industry. What am I?","['Actor', 'Popcorn.', 'Butter', 'Movie']",[1]
525,I'm spread out before being eaten. Your tongue gets me off. Sometimes people lick my nuts. What am I?,"['Cashew butter', 'Hazelnut butter', 'Peanut butter.', 'Almond butter']",[2]
526,All day long it's in and out. I discharge loads from my shaft. Both men and women go down on me. What am I?,"['A roller coaster', 'An elevator.', 'A water slide', 'A train']",[1]
527,"What four-letter word begins with ""f"" and ends with ""k,"" and if you can't get it you can always just use your hands?","['""A desk""', '""A duck""', 'A fork.', '""A book""']",[2]
528,"I come in a lot of different sizes. Sometimes, I drip a little. If you blow me, it feels really good. What am I?","['Your nose.', 'A leaky pipe', 'A faucet', 'A water droplet']",[0]
529,"What's a four-letter word that ends in ""k"" and means the same as intercourse?","['Talk.', 'Converse', 'Chat', 'Speak']",[0]
530,What month are trees scared of?,"['""Oct-ober""', '""Nov-ember"" ', 'Sep-timber.', '""Dec-ember""']",[2]
531,Who walks little pumpkins across the road to school?,"['The pumpkin farmer', 'The scarecrow', 'The school bus driver', 'The crossing gourd.']",[3]
532,What did the ocean say to the ship's captain?,"['""Prepare for a storm""', 'Nothing, it just waved.', '""Smooth sailing ahead""', '""I\'m ready to set sail""']",[1]
533,What does a tree do when it gets homesick?,"['It calls its friends', 'It grows taller', 'It cries', 'It leaves.']",[3]
534,When do the leaves begin to turn?,"['The first day of spring', 'The night before a test.', 'The first day of summer', 'The first day of winter']",[1]
535,How can you tell a dogwood tree apart from other trees?,"['By its flowers', 'By its leaves', 'By its bark.', 'By its height']",[2]
536,"If fruit comes from a fruit tree, where does chicken come from?","['A vegetable-tree', 'A poul-tree.', 'A cow-tree', 'A fish-tree']",[1]
537,"When rain falls, does it ever get up again?","['""No', 'Yes, in dew time.', '""Yes', '""No']",[1]
538,What animal can jump higher than a tree?,"['Giraffe', ""All of them! Trees can't jump."", 'Squirrel', 'Kangaroo']",[1]
539,I have lots of bark but no bite. What am I?,"['A fence', 'A tree.', 'A dog', 'A squirrel']",[1]
540,What did the bat say to his date?,"['""I\'m batty for you.""', '""You\'re a real night owl.""', '""Let\'s fly away together.""', '""You are fun to hang out with.""']",[3]
541,What did the walnut say as he was proposing to the almond?,"['""You drive me nutty.""', '""I am nuts about you.""', '""I\'m going nuts over you.""', '""You\'re the nut for me.""']",[1]
542,"If you greet a couple on Valentine's Day with ""Happy Valentines Day,"" how would you greet a single person on February 14?","['Happy Independence Day!', 'Happy Birthday!', 'Happy New Year!', 'Happy Halloween!']",[0]
543,What did February 14 say to February 1?,"['""I heard you\'re in a relationship.""', '""I heard you\'re married.""', '""I heard you\'re single.""', '""I heard you\'re taken.""']",[2]
544,What did one train say to his sweetheart on Valentine's day?,"['I choo-choo-choose you!', '""You\'re on the right track!""', '""You\'re my locomotive love!""', '""I rail-y like you!""']",[0]
545,What did the octopus say to his crush on Valentine's day?,"['I would like to hold your hand, hand, hand, hand, hand, hand, hand, hand.', '""I\'m ink-love with you', '""You octopi my thoughts', '""I\'m tentacled by your beauty']",[0]
546,"Skunks never skip Valentine's Day, but why?","['They are rather scent-imental.', '""They enjoy the smell of roses.""', '""They have a secret admirer.""', '""They are allergic to flowers.""']",[0]
547,How did the pickle confess his love to his valentine?,"['""He said', 'He said, ""you mean a great dill to me.""', '""He said', '""He said']",[1]
548,What did one lightbulb say to the other lightbulb on Valentine's day?,"['""You light up my life.""', '""I\'m electrified by you.""', 'I love you watts and watts.', '""You\'re the brightest thing in my world.""']",[2]
549,What did one oar say to the other on Valentine's day?,"['""Let\'s paddle our way to love!""', '""Oar you ready for some romance?""', '""Rowing into your heart""', 'How about a little row-mance?']",[3]
550,What do you call a rather small Valentine?,"['A tinyval', 'A sweetheart', 'A valentiny.', 'A lovebug']",[2]
551,What did the chocolate sauce confess to the ice cream?,"['""I\'m melting for you.""', '""I\'m nuts about you.""', ""I'm sweet on you."", '""I\'m cold-hearted.""']",[2]
552,What did the envelope say to the stamp on Valentine's Day?,"['""We\'re sealed with love.""', '""You complete me', ""I'm stuck on you."", '""You\'re my mail attraction.""']",[2]
553,"A truck driver and a doctor fell in love with the same woman. The truck driver had to go on a weekend trip. Before leaving, he gave the woman 2 apples. Why?","['The truck driver gave the woman 2 apples as a symbol of his affection and to show that he cares about her health.', 'The truck driver gave the woman 2 apples as a parting gift, to remind her of him while he is away.', 'Because an apple a day keeps the doctor away!', 'The truck driver gave the woman 2 apples as a gesture of goodwill, to provide her with a healthy snack during his absence.']",[2]
554,One of Santa's reindeer also works on Valentine's Day? Which one?,"['Dasher', 'Prancer', 'Cupid.', 'Vixen']",[2]
555,What flower sounds very kissable?,"['Roses', 'Daisies', 'Sunflowers', 'Tulips.']",[3]
556,What did the farmer give his girlfriend on Valentine's Day?,"['""Chickens and hugs""', '""Sheep and smooches""', 'Hogs and kisses.', '""Cows and cuddles""']",[2]
557,"After the wedding, two married spiders drive off on their honeymoon. What do you call the young spider couple?","['""Spiderlings""', '""Honeymooners""', '""Arachnid lovebirds""', 'Newly webs.']",[3]
558,How do you know that a wedding is really emotional?,"['""The groom gets choked up during his vows.""', '""The bride cries throughout the entire ceremony.""', '""The guests are seen wiping away tears during the speeches.""', 'Even the cake is in tiers.']",[3]
559,Why should you never fall in love with a pastry chef?,"['""They might bake your heart and break it.""', 'They may dessert you.', '""They could sweet talk you into a sugar-coated relationship.""', '""They may whisk you away but leave you feeling empty inside.""']",[1]
560,Why did the bank teller break up with her boyfriend?,"['""They had different life goals.""', '""She found someone else.""', '""He was too controlling.""', 'She was losing interest.']",[3]
561,Did Adam and Eve ever have a date?,"['Yes', 'Maybe', 'No', 'No, but they surely had apples.']",[3]
562,What does a snake couple do as they say goodbye?,"['They slither away from each other', 'They shed their skin together', 'They coil around each other', 'They give a hiss on the cheek to each other.']",[3]
563,What part of the ocean is considered the most romantic?,"['The place where the ""buoy"" meets the ""gull.""', '""The Passionate Cove""', '""The Romance Bay"" ', '""The Love Reef""']",[0]
564,What does the boy bird call his darling?,"['Lovebird', 'Tweetheart.', 'Chirpkin', 'Feathered sweetheart']",[1]
565,What did the magnet say to the paperclip?,"['""You\'re repulsive to me.""', '""I\'m not attracted to you.""', ""I think you're very attractive."", '""I don\'t find you appealing.""']",[2]
